日期,TD3C,TD9,TD7,TD8,TD15,TD1,TD6,中国加权,欧洲加权,中国加权 线性,欧洲加权 线性
2022-09,86.79619047619047,241.35999999999999,166.87714285714287,224.68619047619046,86.73190476190476,47.58428571428571,184.0557142857143,86.7646540880503,177.6636877076412,74.11954907920465,181.3359088488883
2022-10,93.83857142857144,291.0585714285714,205.46142857142854,208.31333333333333,94.95142857142858,52.07333333333333,188.71904761904761,94.3845013477089,194.9487707641196,73.46452847917259,178.7363842445429
2022-11,111.97136363636363,471.674,254.66000000000003,266.87636363636364,111.50363636363636,65.52909090909091,250.97363636363636,111.74191252144081,252.3453065539112,72.80950787914051,176.1368596401975
2022-12,78.68882352941176,269.1941176470588,305.5523529411765,301.6929411764706,78.40764705882353,55.1764705882353,282.42117647058825,78.55088790233074,291.02812585499316,72.15448727910845,173.53733503585212
2023-01,48.674285714285716,157.9895238095238,164.2452380952381,242.5895,51.18476190476191,36.150952380952376,193.5747619047619,49.90584007187781,182.66145071982282,71.49946667907638,170.9378104315067
2023-02,60.152499999999996,196.5565,158.4665,196.753,61.714999999999996,38.937,166.2,60.91900943396226,163.32241860465115,70.84444607904432,168.33828582716131
2023-03,86.85782608695652,346.32,176.34608695652173,212.5895652173913,85.4391304347826,55.81739130434782,171.98608695652175,86.1618621821165,173.6084125379171,70.18942547901224,165.73876122281592
2023-04,66.59611111111111,128.08999999999997,150.7294117647059,218.09235294117647,66.41166666666668,44.666666666666664,148.40833333333333,66.50562893081761,149.2719904240766,69.53440487898018,163.13923661847053
2023-05,47.70055555555555,278.1094444444445,145.48388888888888,182.35222222222222,49.87222222222223,33.297222222222224,127.6561111111111,48.765901467505245,134.28970284237724,68.87938427894812,160.53971201412514
2023-06,61.91761904761905,172.15285714285716,136.98714285714286,184.089,61.45571428571428,38.479523809523805,116.42523809523809,61.69102425876011,124.07617940199336,68.22436367891605,157.94018740977975
2023-07,52.75095238095238,144.374,130.5938095238095,165.63333333333335,53.28285714285715,33.57666666666667,98.05190476190477,53.01188679245283,110.16052048726468,67.56934307888399,155.34066280543436
2023-08,46.156363636363636,108.89272727272727,100.58227272727272,134.7095238095238,51.76454545454545,28.215,74.88636363636364,48.907547169811316,84.44763213530655,66.91432247885191,152.74113820108897
2023-09,42.499,88.72421052631579,94.509,114.86105263157896,47.308,24.584,72.5005,44.8581320754717,80.68970930232558,66.25930187881985,150.14161359674355
2023-10,52.569545454545455,189.77545454545452,149.13772727272726,169.35363636363638,55.44681818181818,29.673181818181817,111.16227272727274,53.98103773584906,125.29267441860466,65.6042812787878,147.54208899239816
2023-11,69.25818181818182,230.88857142857142,178.9609090909091,189.18952380952382,69.61045454545454,37.16727272727273,146.85454545454547,69.4309948542024,158.80109936575053,64.94926067875572,144.94256438805277
2023-12,60.203125,137.599375,148.611875,185.973125,60.9375,34.048125,132.865625,60.56338443396226,138.72469476744186,64.29424007872366,142.34303978370738
2024-01,63.12857142857143,289.3947619047619,181.50333333333333,203.16238095238094,65.46238095238095,,140.20190476190476,64.27345911949686,155.56987818383166,63.63921947869159,139.743515179362
2024-02,69.90285714285714,193.2552380952381,157.16,194.339,70.49571428571429,,123.46666666666667,70.19369272237196,136.00372093023256,62.98419887865953,137.14399057501657
2024-03,70.58250000000001,161.3295,134.161,191.8585,71.72999999999999,,107.7375,71.14542452830187,117.5695,62.32917827862746,134.54446597067118
2024-04,62.20857142857143,175.2252380952381,139.66333333333333,174.60750000000002,63.73904761904762,,114.43714285714285,62.959371069182396,123.82363233665558,61.67415767859539,131.9449413663258
2024-05,68.30333333333333,151.41476190476192,147.1757142857143,189.5159090909091,70.30428571428573,,115.84285714285713,69.28493261455526,127.50159468438538,61.019137078563325,129.3454167619804
2024-06,51.697500000000005,209.908,166.583,199.70999999999998,56.67100000000001,,122.13050000000001,54.13733018867925,138.6709651162791,60.36411647853126,126.74589215763501
2024-07,50.184999999999995,186.501,125.83454545454546,173.49727272727273,54.95095238095238,,111.53090909090908,52.523014375561544,116.85319238900634,59.7090958784992,124.14636755328962
2024-08,50.44904761904762,110.03809523809525,119.89047619047618,154.20136363636365,54.955238095238094,,88.86238095238095,52.659631626235395,100.40771871539312,59.054075278467124,121.54684294894423
2024-09,53.24571428571429,93.7505,115.64761904761905,144.51333333333332,56.90857142857143,,84.13809523809525,55.04258760107817,95.862569213732,58.399054678435064,118.94731834459883
2024-10,56.52304347826087,167.51608695652175,130.0013043478261,152.57818181818183,60.66217391304348,,105.15434782608696,58.55356029532403,114.39972699696665,57.744034078403,116.34779374025344
2024-11,51.395714285714284,114.72157894736843,125.17571428571429,147.5990476190476,54.42095238095238,,94.5304761904762,52.87979335130278,105.93335548172757,57.08901347837093,113.74826913590805
2024-12,41.46058823529412,161.7864705882353,129.46176470588236,136.2776470588235,48.32,,95.71176470588235,44.82558268590455,108.26990424076607,56.43399287833886,111.14874453156264
2025-01,57.29954545454545,128.35363636363635,111.77545454545454,138.9768181818182,60.15181818181818,,84.97500000000001,58.69877358490565,94.9472621564482,55.778972278306796,108.54921992721725
2025-02,62.5395,123.7325,109.10350000000001,143.24,63.697500000000005,,104.94000000000001,63.10757547169811,106.4892093023256,55.123951678274736,105.94969532287186
2025-03,60.2952380952381,141.48904761904762,111.4490476190476,144.0504761904762,61.220000000000006,,119.49190476190476,60.7488948787062,116.49921373200442,54.46893107824266,103.35017071852647
2025-04,61.154999999999994,208.34499999999997,137.16299999999998,148.3365,62.366499999999995,,131.29500000000002,61.749320754716976,133.47844186046513,53.8139104782106,100.75064611418107
