日期,中东湾拉斯坦努拉—中国宁波,西非马隆格/ 杰诺—中国宁波,加权平均,线性拟合
2020-09,30.7765,34.4885,32.66751886792453,39.32355830013282
2020-10,28.401333333333334,30.55,29.49593710691824,39.80030016421717
2020-11,26.48095238095238,29.35238095238095,27.94375561545373,40.27704202830153
2020-12,34.405454545454546,35.749545454545455,35.09018010291595,40.75378389238588
2021-01,36.09473684210526,36.53736842105263,36.320228401191656,41.23052575647024
2021-02,31.908749999999998,35.32,33.64655660377358,41.707267620554596
2021-03,30.76086956521739,35.08695652173913,32.964725184577524,42.18400948463895
2021-04,33.73619047619048,35.506190476190476,34.637888589398024,42.66075134872331
2021-05,34.12235294117647,35.52588235294118,34.83735849056604,43.13749321280766
2021-06,32.3665,33.634499999999996,33.01246226415094,43.61423507689202
2021-07,31.771904761904764,34.28047619047619,33.04985624438455,44.090976940976375
2021-08,31.48818181818182,33.17318181818182,32.34657804459691,44.567718805060736
2021-09,35.74315789473684,37.12105263157895,36.44510427010923,45.04446066914509
2021-10,42.40625,45.03625,43.74606132075472,45.52120253322944
2021-11,43.51272727272727,45.44136363636364,44.495240137221266,45.9979443973138
2021-12,40.30086956521739,41.54,40.93212469237079,46.474686261398155
2022-01,36.37555555555556,37.68388888888889,37.04206498951782,46.95142812548251
2022-02,34.558125,35.7375,35.15893867924528,47.42816998956687
2022-03,44.6995652173913,45.03739130434782,44.87166529942576,47.90491185365122
2022-04,50.40684210526316,58.0457894736842,54.2983813306852,48.38165371773558
2022-05,41.89157894736842,44.17578947368421,43.05523336643496,48.858395581819934
2022-06,46.316,47.682,47.011886792452835,49.335137445904294
2022-07,58.33238095238095,59.29238095238096,58.82143755615454,49.81187930998865
2022-08,68.9304347826087,69.80869565217391,69.37785069729287,50.288621174073
2022-09,87.12476190476191,87.2642857142857,87.1958400718778,50.76536303815736
2022-10,97.000625,97.68625,97.34990566037736,51.242104902241714
2022-11,112.37142857142858,111.74,112.04975741239892,51.71884676632607
2022-12,77.39454545454545,77.39136363636364,77.39292452830188,52.19558863041043
2023-01,49.526875,51.396875,50.479516509433964,52.67233049449479
2023-02,59.673,60.814499999999995,60.25451886792453,53.14907235857914
2023-03,86.17217391304348,84.83304347826088,85.48997538966367,53.62581422266349
2023-04,67.51235294117647,67.3629411764706,67.43623751387348,54.10255608674785
2023-05,47.37736842105263,49.375263157894736,48.3951638530288,54.579297950832206
2023-06,60.14526315789474,60.06263157894737,60.10316782522344,55.05603981491656
2023-07,52.6178947368421,53.00052631578947,52.812820258192644,55.53278167900092
2023-08,46.49,51.83,49.21037735849056,56.00952354308527
2023-09,41.1995,46.685,43.994,56.486265407169626
2023-10,54.20235294117647,57.239411764705885,55.74953385127636,56.963007271253986
2023-11,69.30181818181819,69.75636363636364,69.53337907375644,57.439749135338346
2023-12,59.0647619047619,59.794761904761906,59.436648697214736,57.9164909994227
2024-01,62.93,64.97272727272728,63.970634648370506,58.39323286350705
2024-02,67.7175,68.291875,68.01010613207546,58.86997472759141
2024-03,70.06761904761905,71.0495238095238,70.56783468104223,59.346716591675765
2024-04,62.086,63.6865,62.90134905660378,59.82345845576012
2024-05,68.7255,70.6605,69.71125471698113,60.30020031984448
2024-06,51.86526315789474,56.58105263157895,54.267646474677264,60.77694218392884
2024-07,50.50608695652174,54.65086956521739,52.61757998359311,61.253684048013184
2024-08,51.28681818181818,54.946363636363635,53.151114922813036,61.730425912097544
2024-09,52.57684210526316,56.2621052631579,54.45424031777557,62.207167776181905
2024-10,56.52,60.71055555555555,58.65481132075472,62.68390964026626
2024-11,51.59285714285714,54.429047619047616,53.037708894878705,63.16065150435061
2024-12,41.59863636363636,48.27090909090909,44.99771869639794,63.63739336843497
2025-01,56.465555555555554,59.26166666666667,57.88998951781971,64.11413523251932
2025-02,62.32,63.54888888888888,62.94603773584905,64.59087709660368
2025-03,59.78000000000001,60.95142857142857,60.37676549865229,65.06761896068804
2025-04,61.32,62.395714285714284,61.86800539083558,65.5443608247724
2025-05,59.940000000000005,61.112,60.53705660377359,66.02110268885676
2025-06,58.1835,57.53099999999999,57.851094339622634,66.4978445529411
2025-07,48.83217391304348,51.09478260869565,49.984823625922886,66.97458641702546
2025-08,57.30190476190476,57.29428571428572,57.298023360287516,67.45132828110982
