,Spearman_Vol,Spearman_Price,XGB_Vol,XGB_Price,Spearman_Vol_norm,Spearman_Price_norm,XGB_Vol_norm,XGB_Price_norm,综合重要度得分
VMA,0.6278660375789773,0.5274834348366487,0.026573548,0.0008524113,1.0,0.5756063527470608,0.5225130999176321,0.132434327877507,0.5576384451355499
快手概念,0.5598422514008202,0.0955470732186426,0.05070205,0.0002848072,0.891658758227386,0.10426394214269664,0.9969494972097358,0.044248885610355844,0.5092802707975436
伦敦金融时报100指数,0.5388129278743801,0.3359153834745758,0.009787991,0.003552438,0.8581654296066372,0.366561328647807,0.19246031878678316,0.5519222221203723,0.49227732479039993
VMACD,0.5189658551786783,0.4068733545502951,0.024557967,0.0007028691,0.826555067669828,0.44399287669608795,0.48288092598116417,0.10920080112073628,0.46565741786695414
互联网,0.3677795241113596,0.4654546959083107,0.022044444,0.0010268104,0.5857611370882563,0.5079186609220139,0.43345776673858705,0.15952973075513446,0.4216668238759979
EXPMA,0.224095018437598,0.9163961313478436,0.014579389,0.00027612524,0.3569153370704651,1.0,0.2866731134771701,0.042900018534967006,0.4216221172706506
俄罗斯RTS指数,0.3929052480001433,0.240018616954613,0.03550565,0.0006185817,0.6257787879643371,0.2619157902833914,0.6981441562146867,0.0961055439748695,0.42048606960932117
美国证交所,0.4700980401469863,0.5754060489701122,0.011596334,0.00023030146,0.7487234728600114,0.6279010018558239,0.22801759200616473,0.035780636723502575,0.4101056758613756
BBI,0.2006171042193586,0.8558403378678638,0.015983678,0.00033114242,0.3195221467829809,0.9339196321235951,0.3142855120387108,0.05144772696517648,0.4047937544776158
恒生指数,0.6015102626875459,0.264050159134387,0.013970019,0.0006142496,0.9580232512765653,0.2881397575806215,0.2746911302020423,0.09543249007260642,0.40407165728295885
ARBR,0.2264494974527278,0.1546703943591732,0.05085719,0.00044057972,0.3606653074052336,0.16878115158745008,1.0,0.06845038198656006,0.39947421024481095
美国:美元兑人民币,0.5984062906654963,0.3583635738124496,0.010632961,0.00024399682,0.9530795661012715,0.3910574931011169,0.20907488203732846,0.03790840743306554,0.39778008716819563
成交量:上证综合指数,0.1843827930718462,0.0158496826672088,0.0098931715,0.006436483,0.2936658172861488,0.01729566737028554,0.19452847276855054,1.0,0.37637248935624623
数字媒体,0.2635183265470734,0.5338108181485688,0.01991421,0.00033922528,0.4197046993705664,0.5825109904855612,0.39157118197053364,0.05270351525825517,0.3616225967712291
MA,0.2076192709236534,0.8842693434785776,0.0044084606,0.00038798296,0.33067447273342543,0.9649422484771802,0.08668313369260079,0.060278720537287216,0.36064464386012346
互联网电商,0.4761926292884799,0.3900706939857396,0.009459731,0.00046461014,0.7584303032612767,0.42565729016339277,0.18600577420813066,0.07218385257911814,0.36056930505297957
股票市场:期末市价总值,0.5968625470834228,0.4479739566657877,0.0,0.0,0.950620851200835,0.48884313381692657,0.0,0.0,0.3598659962544404
美国:欧元兑美元,0.5492828501279408,0.1878946088749534,0.014409012,0.00045735162,0.8748408374594528,0.20503644924667713,0.28332300703204405,0.07105613733462825,0.3585641077682006
创业板指数,0.2694256092627822,0.7804388944819466,0.0051776096,0.00027465925,0.429113207495145,0.8516392286969502,0.10180683596557341,0.04267225595095955,0.3563078820271571
沪市:股票:流通市值,0.5196912311066423,0.2926289828391991,0.010676364,0.0003929407,0.8277103713246664,0.3193258601046228,0.20992831102150947,0.06104897659171943,0.35450337976062957
GDP:现价,0.4827037310870312,0.4999017042323821,0.0,0.0,0.7688005118867628,0.5455083092691828,0.0,0.0,0.3285772052889864
意大利MIB指数,0.4307972123752365,0.2988353656135786,0.011397988,0.00044897955,0.6861291845572199,0.32609845828795553,0.2241175338236344,0.06975541611777736,0.3265251481966468
DMA,0.0369517510695725,0.6956024017667634,0.021541929,0.00037436784,0.05885292221260567,0.7590630055843482,0.4235768629765035,0.0581634162631984,0.32491405175916394
MACD,0.0166372102546961,0.6952129713714901,0.023462694,0.0002751668,0.0264980254686946,0.7586380470080822,0.4613446790906065,0.0427511111269928,0.32230796567359404
成交金额:上证综合指数,0.4539776481831907,0.2574788570534265,0.011782943,0.0003234125,0.7230485820410159,0.2809689480844101,0.23168686669475844,0.05024677296591943,0.321487792446526
沪深300指数,0.1775532759922451,0.5686916290002367,0.01686761,0.00023132029,0.2827884697775379,0.6205740176617726,0.33166618132067466,0.03593892658459597,0.3177418988361453
数字孪生,0.55968500888909,0.0982916810884959,0.010094095,0.00040101822,0.8914083186394502,0.10725894373203826,0.19847921208387648,0.06230393523916711,0.31486260242363306
BIAS,0.1363053934330287,0.3723858419766472,0.029642137,0.0003041843,0.2170931142550982,0.40635902885026237,0.582850468144229,0.04725939616402312,0.31339050185340317
BOLL,0.1594836580005556,0.5972687815518914,0.011946924,0.0004041465,0.25400905361200504,0.6517582965713999,0.23491120921151956,0.06278995842916077,0.3008671294560213
社会消费品零售总额:当月值,0.6018123202224047,0.2175140828485846,0.0,0.0,0.9585043372356394,0.23735814175542508,0.0,0.0,0.29896561974776614
