年月,船型,价格,单位价格
2017-08-01,灵便型,33.5,1046.875
2017-08-01,巴拿马型,41.5,553.3333333333334
2017-09-01,阿芙拉型,43.0,390.90909090909093
2017-09-01,苏伊士型,54.0,337.5
2017-09-01,VLCC,81.0,270.0
2017-09-01,灵便型,33.5,1046.875
2017-09-01,巴拿马型,41.5,553.3333333333334
2017-10-01,VLCC,81.0,270.0
2017-10-01,巴拿马型,41.5,553.3333333333334
2017-10-01,灵便型,33.5,1046.875
2017-10-01,阿芙拉型,43.0,390.90909090909093
2017-10-01,苏伊士型,54.0,337.5
2017-11-01,阿芙拉型,44.0,400.0
2017-11-01,苏伊士型,54.5,340.625
2017-11-01,VLCC,81.0,270.0
2017-11-01,灵便型,33.5,1046.875
2017-11-01,巴拿马型,41.5,553.3333333333334
2017-12-01,巴拿马型,41.5,553.3333333333334
2017-12-01,灵便型,33.75,1054.6875
2017-12-01,VLCC,81.5,271.6666666666667
2017-12-01,苏伊士型,55.0,343.75
2017-12-01,阿芙拉型,44.0,400.0
2018-01-01,阿芙拉型,45.0,409.09090909090907
2018-01-01,苏伊士型,56.0,350.0
2018-01-01,VLCC,83.0,276.6666666666667
2018-01-01,灵便型,34.5,1078.125
2018-01-01,巴拿马型,42.5,566.6666666666666
2018-02-01,巴拿马型,43.0,573.3333333333334
2018-02-01,灵便型,35.0,1093.75
2018-02-01,VLCC,84.5,281.6666666666667
2018-02-01,苏伊士型,57.0,356.25
2018-02-01,阿芙拉型,45.0,409.09090909090907
2018-03-01,阿芙拉型,45.5,413.6363636363636
2018-03-01,苏伊士型,58.5,365.625
2018-03-01,VLCC,86.0,286.6666666666667
2018-03-01,灵便型,35.25,1101.5625
2018-03-01,巴拿马型,43.0,573.3333333333334
2018-04-01,巴拿马型,43.0,573.3333333333334
2018-04-01,灵便型,35.25,1101.5625
2018-04-01,苏伊士型,58.5,365.625
2018-04-01,阿芙拉型,45.5,413.6363636363636
2018-04-01,VLCC,87.0,290.0
2018-05-01,阿芙拉型,46.0,418.1818181818182
2018-05-01,苏伊士型,58.5,365.625
2018-05-01,VLCC,87.0,290.0
2018-05-01,灵便型,35.25,1101.5625
2018-05-01,巴拿马型,43.0,573.3333333333334
2018-06-01,巴拿马型,43.25,576.6666666666666
2018-06-01,灵便型,35.25,1101.5625
2018-06-01,VLCC,88.5,295.0
2018-06-01,苏伊士型,59.0,368.75
2018-06-01,阿芙拉型,47.0,427.27272727272725
2018-07-01,阿芙拉型,47.5,431.8181818181818
2018-07-01,苏伊士型,59.0,368.75
2018-07-01,VLCC,89.5,298.3333333333333
2018-07-01,灵便型,35.5,1109.375
2018-07-01,巴拿马型,43.5,580.0
2018-08-01,巴拿马型,43.75,583.3333333333334
2018-08-01,灵便型,35.75,1117.1875
2018-08-01,VLCC,90.0,300.0
2018-08-01,阿芙拉型,47.75,434.09090909090907
2018-08-01,苏伊士型,60.0,375.0
2018-09-01,阿芙拉型,48.0,436.3636363636364
2018-09-01,苏伊士型,60.0,375.0
2018-09-01,VLCC,91.0,303.3333333333333
2018-09-01,灵便型,36.0,1125.0
