年月,船型,船龄,折旧率
2016-08-01,阿芙拉型,15,0.6739
2016-08-01,巴拿马型,5,0.2410
2016-08-01,巴拿马型,10,0.4940
2016-08-01,巴拿马型,15,0.6627
2016-08-01,苏伊士型,5,0.1964
2016-08-01,苏伊士型,10,0.4196
2016-08-01,苏伊士型,15,0.6429
2016-08-01,VLCC,5,0.2791
2016-08-01,VLCC,10,0.5233
2016-08-01,VLCC,15,0.6977
2016-09-01,阿芙拉型,5,0.2778
2016-09-01,阿芙拉型,10,0.5333
2016-09-01,阿芙拉型,15,0.6667
2016-09-01,苏伊士型,5,0.2000
2016-09-01,苏伊士型,10,0.4273
2016-09-01,苏伊士型,15,0.6364
2016-09-01,VLCC,5,0.2706
2016-09-01,VLCC,10,0.5176
2016-09-01,VLCC,15,0.6941
2016-09-01,巴拿马型,5,0.2683
2016-09-01,巴拿马型,10,0.5122
2016-09-01,巴拿马型,15,0.6829
2016-10-01,阿芙拉型,5,0.3000
2016-10-01,阿芙拉型,10,0.5556
2016-10-01,阿芙拉型,15,0.6667
2016-10-01,VLCC,5,0.2824
2016-10-01,VLCC,10,0.5294
2016-10-01,VLCC,15,0.7059
2016-10-01,巴拿马型,5,0.3049
2016-10-01,巴拿马型,10,0.5366
2016-10-01,巴拿马型,15,0.7073
2016-10-01,苏伊士型,5,0.2182
2016-10-01,苏伊士型,10,0.4455
2016-10-01,苏伊士型,15,0.6545
2016-11-01,巴拿马型,5,0.3171
2016-11-01,巴拿马型,10,0.5854
2016-11-01,巴拿马型,15,0.7317
2016-11-01,阿芙拉型,5,0.3556
2016-11-01,阿芙拉型,10,0.6000
2016-11-01,阿芙拉型,15,0.7111
2016-11-01,苏伊士型,5,0.2727
2016-11-01,苏伊士型,10,0.5000
2016-11-01,苏伊士型,15,0.7091
2016-11-01,VLCC,5,0.2941
2016-11-01,VLCC,10,0.5294
2016-11-01,VLCC,15,0.7176
2016-12-01,苏伊士型,5,0.2661
2016-12-01,苏伊士型,10,0.4954
2016-12-01,苏伊士型,15,0.7064
2016-12-01,阿芙拉型,5,0.3483
2016-12-01,阿芙拉型,10,0.5955
2016-12-01,阿芙拉型,15,0.7079
2016-12-01,VLCC,5,0.2899
2016-12-01,VLCC,10,0.5266
2016-12-01,VLCC,15,0.7160
2016-12-01,巴拿马型,5,0.3171
2016-12-01,巴拿马型,10,0.5854
2016-12-01,巴拿马型,15,0.7317
2017-01-01,巴拿马型,5,0.2927
2017-01-01,巴拿马型,10,0.5366
2017-01-01,巴拿马型,15,0.7073
2017-01-01,苏伊士型,5,0.2336
2017-01-01,苏伊士型,10,0.4673
2017-01-01,苏伊士型,15,0.6822
2017-01-01,阿芙拉型,5,0.3103
2017-01-01,阿芙拉型,10,0.5632
2017-01-01,阿芙拉型,15,0.7011
