年月,船型,船龄,折旧率
2020-04-01,巴拿马型,10,0.5337
2020-04-01,巴拿马型,15,0.6910
2020-05-01,巴拿马型,5,0.3068
2020-05-01,巴拿马型,10,0.5795
2020-05-01,巴拿马型,15,0.6932
2020-05-01,苏伊士型,5,0.1597
2020-05-01,苏伊士型,10,0.4118
2020-05-01,苏伊士型,15,0.5966
2020-05-01,阿芙拉型,5,0.1959
2020-05-01,阿芙拉型,10,0.4639
2020-05-01,阿芙拉型,15,0.6804
2020-05-01,VLCC,5,0.1910
2020-05-01,VLCC,10,0.4382
2020-05-01,VLCC,15,0.5955
2020-06-01,苏伊士型,5,0.1552
2020-06-01,苏伊士型,10,0.4138
2020-06-01,苏伊士型,15,0.6034
2020-06-01,VLCC,5,0.2247
2020-06-01,VLCC,10,0.4719
2020-06-01,VLCC,15,0.6180
2020-06-01,巴拿马型,5,0.3182
2020-06-01,巴拿马型,10,0.5682
2020-06-01,巴拿马型,15,0.7045
2020-06-01,阿芙拉型,5,0.2268
2020-06-01,阿芙拉型,10,0.4639
2020-06-01,阿芙拉型,15,0.6804
2020-07-01,VLCC,5,0.2114
2020-07-01,VLCC,10,0.4514
2020-07-01,VLCC,15,0.6114
2020-07-01,巴拿马型,5,0.3023
2020-07-01,巴拿马型,10,0.5581
2020-07-01,巴拿马型,15,0.6977
2020-07-01,阿芙拉型,5,0.2577
2020-07-01,阿芙拉型,10,0.4845
2020-07-01,阿芙拉型,15,0.6907
2020-07-01,苏伊士型,5,0.1579
2020-07-01,苏伊士型,10,0.4035
2020-07-01,苏伊士型,15,0.6140
2020-08-01,阿芙拉型,5,0.2500
2020-08-01,阿芙拉型,10,0.4792
2020-08-01,阿芙拉型,15,0.6875
2020-08-01,苏伊士型,5,0.1681
2020-08-01,苏伊士型,10,0.4248
2020-08-01,苏伊士型,15,0.6106
2020-08-01,VLCC,5,0.2184
2020-08-01,VLCC,10,0.4713
2020-08-01,VLCC,15,0.6264
2020-08-01,巴拿马型,5,0.3023
2020-08-01,巴拿马型,10,0.5581
2020-08-01,巴拿马型,15,0.6977
2020-09-01,巴拿马型,5,0.3176
2020-09-01,巴拿马型,10,0.5765
2020-09-01,巴拿马型,15,0.7176
2020-09-01,VLCC,5,0.2442
2020-09-01,VLCC,10,0.5000
2020-09-01,VLCC,15,0.6512
2020-09-01,阿芙拉型,5,0.2553
2020-09-01,阿芙拉型,10,0.5106
2020-09-01,阿芙拉型,15,0.6809
2020-09-01,苏伊士型,5,0.1964
2020-09-01,苏伊士型,10,0.4643
2020-09-01,苏伊士型,15,0.6250
2020-10-01,阿芙拉型,5,0.2826
2020-10-01,阿芙拉型,10,0.5326
2020-10-01,阿芙拉型,15,0.6957
2020-10-01,苏伊士型,5,0.1964
2020-10-01,苏伊士型,10,0.4643
2020-10-01,苏伊士型,15,0.6250
2020-10-01,VLCC,5,0.2353
2020-10-01,VLCC,10,0.4941
2020-10-01,VLCC,15,0.6471
2020-10-01,巴拿马型,5,0.3176
2020-10-01,巴拿马型,10,0.5765
2020-10-01,巴拿马型,15,0.7176
2020-11-01,巴拿马型,5,0.3176
2020-11-01,巴拿马型,10,0.5765
2020-11-01,巴拿马型,15,0.7176
2020-11-01,VLCC,5,0.2588
2020-11-01,VLCC,10,0.4941
2020-11-01,VLCC,15,0.6471
2020-11-01,阿芙拉型,5,0.2935
2020-11-01,阿芙拉型,10,0.5543
2020-11-01,阿芙拉型,15,0.6957
2020-11-01,苏伊士型,5,0.2321
2020-11-01,苏伊士型,10,0.5000
2020-11-01,苏伊士型,15,0.6696
2020-12-01,阿芙拉型,5,0.3011
2020-12-01,阿芙拉型,10,0.5591
2020-12-01,阿芙拉型,15,0.6989
2020-12-01,苏伊士型,5,0.2321
2020-12-01,苏伊士型,10,0.5000
2020-12-01,苏伊士型,15,0.6696
2020-12-01,VLCC,5,0.2632
2020-12-01,VLCC,10,0.4971
2020-12-01,VLCC,15,0.6491
2020-12-01,巴拿马型,5,0.3176
2020-12-01,巴拿马型,10,0.5765
2020-12-01,巴拿马型,15,0.7176
2021-01-01,巴拿马型,5,0.3176
2021-01-01,巴拿马型,10,0.5412
2021-01-01,巴拿马型,15,0.6941
2021-01-01,阿芙拉型,5,0.3053
2021-01-01,阿芙拉型,10,0.5579
2021-01-01,阿芙拉型,15,0.7053
2021-01-01,VLCC,5,0.2614
2021-01-01,VLCC,10,0.4773
2021-01-01,VLCC,15,0.6307
2021-01-01,苏伊士型,5,0.2348
2021-01-01,苏伊士型,10,0.4870
2021-01-01,苏伊士型,15,0.6696
2021-02-01,阿芙拉型,5,0.3125
2021-02-01,阿芙拉型,10,0.5625
2021-02-01,阿芙拉型,15,0.7083
2021-02-01,苏伊士型,5,0.2712
2021-02-01,苏伊士型,10,0.4915
2021-02-01,苏伊士型,15,0.6610
2021-02-01,VLCC,5,0.2514
2021-02-01,VLCC,10,0.4860
2021-02-01,VLCC,15,0.6369
2021-02-01,巴拿马型,5,0.3256
2021-02-01,巴拿马型,10,0.5465
2021-02-01,巴拿马型,15,0.6977
2021-03-01,巴拿马型,5,0.3064
2021-03-01,巴拿马型,10,0.5491
2021-03-01,巴拿马型,15,0.6994
2021-03-01,苏伊士型,5,0.2562
2021-03-01,苏伊士型,10,0.5041
2021-03-01,苏伊士型,15,0.6694
2021-03-01,阿芙拉型,5,0.2525
2021-03-01,阿芙拉型,10,0.5253
2021-03-01,阿芙拉型,15,0.7071
2021-03-01,VLCC,5,0.2376
2021-03-01,VLCC,10,0.4917
2021-03-01,VLCC,15,0.6409
2021-04-01,阿芙拉型,5,0.2079
2021-04-01,阿芙拉型,10,0.4851
2021-04-01,阿芙拉型,15,0.6832
2021-04-01,苏伊士型,5,0.2419
2021-04-01,苏伊士型,10,0.4839
2021-04-01,苏伊士型,15,0.6452
2021-04-01,VLCC,5,0.2581
2021-04-01,VLCC,10,0.5054
2021-04-01,VLCC,15,0.6505
2021-04-01,巴拿马型,5,0.2809
2021-04-01,巴拿马型,10,0.5281
2021-04-01,巴拿马型,15,0.7079
2021-05-01,巴拿马型,5,0.2667
2021-05-01,巴拿马型,10,0.5111
2021-05-01,巴拿马型,15,0.7111
2021-05-01,VLCC,5,0.2632
2021-05-01,VLCC,10,0.4947
2021-05-01,VLCC,15,0.6316
2021-05-01,阿芙拉型,5,0.2079
2021-05-01,阿芙拉型,10,0.4851
2021-05-01,阿芙拉型,15,0.6832
2021-05-01,苏伊士型,5,0.2460
2021-05-01,苏伊士型,10,0.4921
2021-05-01,苏伊士型,15,0.6508
2021-06-01,苏伊士型,5,0.2538
2021-06-01,苏伊士型,10,0.4923
2021-06-01,苏伊士型,15,0.6615
2021-06-01,VLCC,5,0.2718
2021-06-01,VLCC,10,0.4974
2021-06-01,VLCC,15,0.6410
2021-06-01,巴拿马型,5,0.2747
2021-06-01,巴拿马型,10,0.5165
2021-06-01,巴拿马型,15,0.7143
2021-06-01,阿芙拉型,5,0.2157
2021-06-01,阿芙拉型,10,0.4902
2021-06-01,阿芙拉型,15,0.6863
2021-10-01,阿芙拉型,5,0.3220
2021-10-01,阿芙拉型,10,0.5593
2021-10-01,阿芙拉型,15,0.7288
2021-10-01,苏伊士型,5,0.3557
2021-10-01,苏伊士型,10,0.5705
2021-10-01,苏伊士型,15,0.7181
2021-10-01,巴拿马型,5,0.3892
2021-10-01,巴拿马型,10,0.6059
2021-10-01,巴拿马型,15,0.7635
2021-10-01,VLCC,5,0.3519
2021-10-01,VLCC,10,0.5741
2021-10-01,VLCC,15,0.6944
2021-11-01,巴拿马型,5,0.3922
2021-11-01,巴拿马型,10,0.6078
2021-11-01,巴拿马型,15,0.7647
2021-11-01,阿芙拉型,5,0.3051
2021-11-01,阿芙拉型,10,0.5424
2021-11-01,阿芙拉型,15,0.7119
2021-11-01,苏伊士型,5,0.3775
2021-11-01,苏伊士型,10,0.5894
2021-11-01,苏伊士型,15,0.7219
2021-11-01,VLCC,5,0.3578
2021-11-01,VLCC,10,0.5780
2021-11-01,VLCC,15,0.6972
2021-12-01,巴拿马型,5,0.3922
2021-12-01,巴拿马型,10,0.6078
2021-12-01,巴拿马型,15,0.7647
2021-12-01,阿芙拉型,5,0.3051
2021-12-01,阿芙拉型,10,0.5424
2021-12-01,阿芙拉型,15,0.7119
2021-12-01,苏伊士型,5,0.3816
2021-12-01,苏伊士型,10,0.5921
2021-12-01,苏伊士型,15,0.7237
2021-12-01,VLCC,5,0.3750
2021-12-01,VLCC,10,0.5893
2021-12-01,VLCC,15,0.7054
2022-01-01,阿芙拉型,5,0.2500
2022-01-01,阿芙拉型,10,0.5333
2022-01-01,阿芙拉型,15,0.7000
2022-01-01,苏伊士型,5,0.3684
2022-01-01,苏伊士型,10,0.5789
2022-01-01,苏伊士型,15,0.7105
2022-01-01,VLCC,5,0.3684
2022-01-01,VLCC,10,0.5614
2022-01-01,VLCC,15,0.7018
2022-01-01,巴拿马型,5,0.3824
2022-01-01,巴拿马型,10,0.6078
2022-01-01,巴拿马型,15,0.7451
2022-02-01,巴拿马型,5,0.3333
2022-02-01,巴拿马型,10,0.6078
2022-02-01,巴拿马型,15,0.7451
2022-02-01,VLCC,5,0.3913
2022-02-01,VLCC,10,0.5826
2022-02-01,VLCC,15,0.6957
2022-02-01,阿芙拉型,5,0.2500
2022-02-01,阿芙拉型,10,0.5417
2022-02-01,阿芙拉型,15,0.7250
2022-02-01,苏伊士型,5,0.3896
2022-02-01,苏伊士型,10,0.5974
2022-02-01,苏伊士型,15,0.7273
2022-03-01,巴拿马型,5,0.3333
2022-03-01,巴拿马型,10,0.5882
2022-03-01,巴拿马型,15,0.7255
2022-03-01,VLCC,5,0.3739
2022-03-01,VLCC,10,0.5652
2022-03-01,VLCC,15,0.6783
2022-03-01,苏伊士型,5,0.3636
2022-03-01,苏伊士型,10,0.5714
2022-03-01,苏伊士型,15,0.7143
2022-03-01,阿芙拉型,5,0.2500
2022-03-01,阿芙拉型,10,0.5417
2022-03-01,阿芙拉型,15,0.7083
2022-04-01,阿芙拉型,5,0.2231
2022-04-01,阿芙拉型,10,0.4628
2022-04-01,阿芙拉型,15,0.6694
2022-04-01,苏伊士型,5,0.3462
2022-04-01,苏伊士型,10,0.5385
2022-04-01,苏伊士型,15,0.6667
2022-04-01,巴拿马型,5,0.3204
2022-04-01,巴拿马型,10,0.5728
2022-04-01,巴拿马型,15,0.7087
2022-04-01,VLCC,5,0.3621
2022-04-01,VLCC,10,0.5603
2022-04-01,VLCC,15,0.6897
2022-05-01,巴拿马型,5,0.2925
2022-05-01,巴拿马型,10,0.5094
2022-05-01,巴拿马型,15,0.6887
2022-05-01,VLCC,5,0.3419
2022-05-01,VLCC,10,0.5556
2022-05-01,VLCC,15,0.6752
2022-05-01,苏伊士型,5,0.3418
2022-05-01,苏伊士型,10,0.5316
2022-05-01,苏伊士型,15,0.6709
2022-05-01,阿芙拉型,5,0.2033
2022-05-01,阿芙拉型,10,0.4715
2022-05-01,阿芙拉型,15,0.6423
2022-06-01,阿芙拉型,5,0.2033
2022-06-01,阿芙拉型,10,0.4309
2022-06-01,阿芙拉型,15,0.6098
2022-06-01,苏伊士型,5,0.3208
2022-06-01,苏伊士型,10,0.5220
2022-06-01,苏伊士型,15,0.6730
2022-06-01,VLCC,5,0.3447
2022-06-01,VLCC,10,0.5574
2022-06-01,VLCC,15,0.6766
2022-06-01,巴拿马型,5,0.2925
2022-06-01,巴拿马型,10,0.5094
2022-06-01,巴拿马型,15,0.6887
2022-07-01,巴拿马型,5,0.2336
2022-07-01,巴拿马型,10,0.4953
2022-07-01,巴拿马型,15,0.6449
2022-07-01,VLCC,5,0.2941
2022-07-01,VLCC,10,0.5126
2022-07-01,VLCC,15,0.6639
2022-07-01,苏伊士型,5,0.2704
2022-07-01,苏伊士型,10,0.4654
2022-07-01,苏伊士型,15,0.6226
2022-07-01,阿芙拉型,5,0.1382
2022-07-01,阿芙拉型,10,0.3902
2022-07-01,阿芙拉型,15,0.5528
2022-08-01,阿芙拉型,5,0.1220
2022-08-01,阿芙拉型,10,0.3659
2022-08-01,阿芙拉型,15,0.5285
2022-08-01,苏伊士型,5,0.2625
2022-08-01,苏伊士型,10,0.4688
2022-08-01,苏伊士型,15,0.6000
2022-08-01,巴拿马型,5,0.2056
2022-08-01,巴拿马型,10,0.4766
2022-08-01,巴拿马型,15,0.6262
2022-08-01,VLCC,5,0.3000
2022-08-01,VLCC,10,0.5167
2022-08-01,VLCC,15,0.6583
2022-09-01,阿芙拉型,5,0.0732
2022-09-01,阿芙拉型,10,0.3171
2022-09-01,阿芙拉型,15,0.4797
2022-09-01,苏伊士型,5,0.2250
2022-09-01,苏伊士型,10,0.4375
2022-09-01,苏伊士型,15,0.5750
2022-09-01,VLCC,5,0.2667
2022-09-01,VLCC,10,0.4583
2022-09-01,VLCC,15,0.5750
2022-09-01,巴拿马型,5,0.1776
2022-09-01,巴拿马型,10,0.4393
2022-09-01,巴拿马型,15,0.6075
2022-10-01,巴拿马型,5,0.1852
2022-10-01,巴拿马型,10,0.4444
2022-10-01,巴拿马型,15,0.6111
2022-10-01,苏伊士型,5,0.2250
2022-10-01,苏伊士型,10,0.4375
2022-10-01,苏伊士型,15,0.5875
2022-10-01,阿芙拉型,5,0.0732
2022-10-01,阿芙拉型,10,0.3171
2022-10-01,阿芙拉型,15,0.4797
2022-10-01,VLCC,5,0.2583
2022-10-01,VLCC,10,0.4500
2022-10-01,VLCC,15,0.5667
2022-11-01,阿芙拉型,5,0.0569
2022-11-01,阿芙拉型,10,0.3008
2022-11-01,阿芙拉型,15,0.4634
2022-11-01,苏伊士型,5,0.2250
2022-11-01,苏伊士型,10,0.4250
2022-11-01,苏伊士型,15,0.5625
2022-11-01,VLCC,5,0.2500
2022-11-01,VLCC,10,0.4500
2022-11-01,VLCC,15,0.5500
2022-11-01,巴拿马型,5,0.1667
2022-11-01,巴拿马型,10,0.3704
2022-11-01,巴拿马型,15,0.5556
2022-12-01,巴拿马型,5,0.1667
2022-12-01,巴拿马型,10,0.3704
2022-12-01,巴拿马型,15,0.5556
2022-12-01,阿芙拉型,5,0.0645
2022-12-01,阿芙拉型,10,0.3065
2022-12-01,阿芙拉型,15,0.4516
2022-12-01,苏伊士型,5,0.2125
2022-12-01,苏伊士型,10,0.4125
2022-12-01,苏伊士型,15,0.5375
2022-12-01,VLCC,5,0.2333
2022-12-01,VLCC,10,0.4167
2022-12-01,VLCC,15,0.5167
2023-01-01,阿芙拉型,5,0.0000
2023-01-01,阿芙拉型,10,0.2000
2023-01-01,阿芙拉型,15,0.3920
2023-01-01,苏伊士型,5,0.1553
2023-01-01,苏伊士型,10,0.3416
2023-01-01,苏伊士型,15,0.5031
2023-01-01,VLCC,5,0.1667
2023-01-01,VLCC,10,0.3667
2023-01-01,VLCC,15,0.5000
2023-01-01,巴拿马型,5,0.1296
2023-01-01,巴拿马型,10,0.3333
2023-01-01,巴拿马型,15,0.5185
2023-02-01,阿芙拉型,5,0.0079
2023-02-01,阿芙拉型,10,0.2063
2023-02-01,阿芙拉型,15,0.3968
2023-02-01,苏伊士型,5,0.1553
2023-02-01,苏伊士型,10,0.3416
2023-02-01,苏伊士型,15,0.5031
2023-02-01,VLCC,5,0.1667
2023-02-01,VLCC,10,0.3667
2023-02-01,VLCC,15,0.5000
2023-02-01,巴拿马型,5,0.1376
2023-02-01,巴拿马型,10,0.3394
2023-02-01,巴拿马型,15,0.5229
2023-03-01,巴拿马型,5,0.1376
2023-03-01,巴拿马型,10,0.3394
2023-03-01,巴拿马型,15,0.5229
2023-03-01,苏伊士型,5,0.1491
2023-03-01,苏伊士型,10,0.3354
2023-03-01,苏伊士型,15,0.5031
2023-03-01,阿芙拉型,5,0.0234
2023-03-01,阿芙拉型,10,0.2188
2023-03-01,阿芙拉型,15,0.3906
2023-03-01,VLCC,5,0.1667
2023-03-01,VLCC,10,0.3667
2023-03-01,VLCC,15,0.5000
2023-04-01,阿芙拉型,5,0.0530
2023-04-01,阿芙拉型,10,0.2424
2023-04-01,阿芙拉型,15,0.4091
2023-04-01,苏伊士型,5,0.1646
2023-04-01,苏伊士型,10,0.3476
2023-04-01,苏伊士型,15,0.5122
2023-04-01,VLCC,5,0.1803
2023-04-01,VLCC,10,0.3770
2023-04-01,VLCC,15,0.5082
2023-04-01,巴拿马型,5,0.0991
2023-04-01,巴拿马型,10,0.2793
2023-04-01,巴拿马型,15,0.5045
2023-05-01,巴拿马型,5,0.1228
2023-05-01,巴拿马型,10,0.2982
2023-05-01,巴拿马型,15,0.5175
2023-05-01,VLCC,5,0.2063
2023-05-01,VLCC,10,0.3968
2023-05-01,VLCC,15,0.5238
2023-05-01,阿芙拉型,5,0.0593
2023-05-01,阿芙拉型,10,0.2296
2023-05-01,阿芙拉型,15,0.4074
2023-05-01,苏伊士型,5,0.1294
2023-05-01,苏伊士型,10,0.3294
2023-05-01,苏伊士型,15,0.5176
2023-06-01,阿芙拉型,5,0.0593
2023-06-01,阿芙拉型,10,0.2296
2023-06-01,阿芙拉型,15,0.4074
2023-06-01,苏伊士型,5,0.1412
2023-06-01,苏伊士型,10,0.3176
2023-06-01,苏伊士型,15,0.5176
2023-06-01,VLCC,5,0.2063
2023-06-01,VLCC,10,0.4048
2023-06-01,VLCC,15,0.5397
2023-06-01,巴拿马型,5,0.1404
2023-06-01,巴拿马型,10,0.3158
2023-06-01,巴拿马型,15,0.5175
2023-07-01,巴拿马型,5,0.1404
2023-07-01,巴拿马型,10,0.3158
2023-07-01,巴拿马型,15,0.5175
2023-07-01,阿芙拉型,5,0.0662
2023-07-01,阿芙拉型,10,0.2500
2023-07-01,阿芙拉型,15,0.4338
2023-07-01,苏伊士型,5,0.1529
2023-07-01,苏伊士型,10,0.3176
2023-07-01,苏伊士型,15,0.5176
2023-07-01,VLCC,5,0.2143
2023-07-01,VLCC,10,0.4127
2023-07-01,VLCC,15,0.5437
2023-08-01,阿芙拉型,5,0.0662
2023-08-01,阿芙拉型,10,0.2500
2023-08-01,阿芙拉型,15,0.4338
2023-08-01,苏伊士型,5,0.1412
2023-08-01,苏伊士型,10,0.3059
2023-08-01,苏伊士型,15,0.5176
2023-08-01,VLCC,5,0.2143
2023-08-01,VLCC,10,0.4127
2023-08-01,VLCC,15,0.5437
2023-08-01,巴拿马型,5,0.1404
2023-08-01,巴拿马型,10,0.3158
2023-08-01,巴拿马型,15,0.5175
2023-09-01,巴拿马型,5,0.1228
2023-09-01,巴拿马型,10,0.3421
2023-09-01,巴拿马型,15,0.5351
2023-09-01,VLCC,5,0.2344
2023-09-01,VLCC,10,0.4219
2023-09-01,VLCC,15,0.5625
2023-09-01,阿芙拉型,5,0.0730
2023-09-01,阿芙拉型,10,0.2555
2023-09-01,阿芙拉型,15,0.4526
2023-09-01,苏伊士型,5,0.1412
2023-09-01,苏伊士型,10,0.3176
2023-09-01,苏伊士型,15,0.5176
2023-10-01,阿芙拉型,5,-0.0292
2023-10-01,阿芙拉型,10,0.1971
2023-10-01,阿芙拉型,15,0.4453
2023-10-01,苏伊士型,5,0.0824
2023-10-01,苏伊士型,10,0.2824
2023-10-01,苏伊士型,15,0.4824
2023-10-01,VLCC,5,0.2344
2023-10-01,VLCC,10,0.4219
2023-10-01,VLCC,15,0.5625
2023-10-01,巴拿马型,5,0.1053
2023-10-01,巴拿马型,10,0.2807
2023-10-01,巴拿马型,15,0.5088
2023-11-01,巴拿马型,5,0.1130
2023-11-01,巴拿马型,10,0.2870
2023-11-01,巴拿马型,15,0.5130
2023-11-01,阿芙拉型,5,-0.0071
2023-11-01,阿芙拉型,10,0.2143
2023-11-01,阿芙拉型,15,0.4571
2023-11-01,苏伊士型,5,0.0824
2023-11-01,苏伊士型,10,0.2824
2023-11-01,苏伊士型,15,0.4824
2023-11-01,VLCC,5,0.2344
2023-11-01,VLCC,10,0.4219
2023-11-01,VLCC,15,0.5625
2023-12-01,阿芙拉型,5,-0.0071
2023-12-01,阿芙拉型,10,0.2143
2023-12-01,阿芙拉型,15,0.4571
2023-12-01,苏伊士型,5,0.0824
2023-12-01,苏伊士型,10,0.2941
2023-12-01,苏伊士型,15,0.5176
2023-12-01,VLCC,5,0.1797
2023-12-01,VLCC,10,0.4141
2023-12-01,VLCC,15,0.5703
2023-12-01,巴拿马型,5,0.1130
2023-12-01,巴拿马型,10,0.2870
2023-12-01,巴拿马型,15,0.5130
2024-01-01,巴拿马型,5,0.0862
2024-01-01,巴拿马型,10,0.2586
2024-01-01,巴拿马型,15,0.4828
2024-01-01,苏伊士型,5,0.0235
2024-01-01,苏伊士型,10,0.2294
2024-01-01,苏伊士型,15,0.4706
2024-01-01,阿芙拉型,5,-0.0213
2024-01-01,阿芙拉型,10,0.1773
2024-01-01,阿芙拉型,15,0.4184
2024-01-01,VLCC,5,0.1484
2024-01-01,VLCC,10,0.3750
2024-01-01,VLCC,15,0.5547
2024-02-01,阿芙拉型,5,-0.0141
2024-02-01,阿芙拉型,10,0.1831
2024-02-01,阿芙拉型,15,0.4225
2024-02-01,苏伊士型,5,0.0292
2024-02-01,苏伊士型,10,0.2047
2024-02-01,苏伊士型,15,0.4152
2024-02-01,VLCC,5,0.1328
2024-02-01,VLCC,10,0.3438
2024-02-01,VLCC,15,0.5469
2024-02-01,巴拿马型,5,0.0940
2024-02-01,巴拿马型,10,0.2650
2024-02-01,巴拿马型,15,0.4872
2024-03-01,巴拿马型,5,0.1167
2024-03-01,巴拿马型,10,0.2833
2024-03-01,巴拿马型,15,0.5000
2024-03-01,阿芙拉型,5,0.0000
2024-03-01,阿芙拉型,10,0.1944
2024-03-01,阿芙拉型,15,0.4306
2024-03-01,苏伊士型,5,0.0514
2024-03-01,苏伊士型,10,0.2229
2024-03-01,苏伊士型,15,0.4286
2024-03-01,VLCC,5,0.1308
2024-03-01,VLCC,10,0.3462
2024-03-01,VLCC,15,0.5538
2024-04-01,VLCC,5,0.1188
2024-04-01,VLCC,10,0.3487
2024-04-01,VLCC,15,0.5556
2024-04-01,苏伊士型,5,0.0568
2024-04-01,苏伊士型,10,0.2273
2024-04-01,苏伊士型,15,0.4318
2024-04-01,阿芙拉型,5,-0.0069
2024-04-01,阿芙拉型,10,0.1667
2024-04-01,阿芙拉型,15,0.3889
2024-04-01,巴拿马型,5,0.1203
2024-04-01,巴拿马型,10,0.2863
2024-04-01,巴拿马型,15,0.4855
2024-05-01,VLCC,5,0.1154
2024-05-01,VLCC,10,0.3462
2024-05-01,VLCC,15,0.5538
2024-05-01,苏伊士型,5,0.0621
2024-05-01,苏伊士型,10,0.2316
2024-05-01,苏伊士型,15,0.4350
2024-05-01,阿芙拉型,5,0.0068
2024-05-01,阿芙拉型,10,0.1781
2024-05-01,阿芙拉型,15,0.3973
2024-05-01,巴拿马型,5,0.1311
2024-05-01,巴拿马型,10,0.2951
2024-05-01,巴拿马型,15,0.4918
2024-06-01,巴拿马型,5,0.1290
2024-06-01,巴拿马型,10,0.2903
2024-06-01,巴拿马型,15,0.4839
2024-06-01,苏伊士型,5,0.0726
2024-06-01,苏伊士型,10,0.2402
2024-06-01,苏伊士型,15,0.4413
2024-06-01,阿芙拉型,5,0.0333
2024-06-01,阿芙拉型,10,0.2000
2024-06-01,阿芙拉型,15,0.4133
2024-06-01,VLCC,5,0.1154
2024-06-01,VLCC,10,0.3462
2024-06-01,VLCC,15,0.5538
2024-07-01,VLCC,5,0.1085
2024-07-01,VLCC,10,0.3411
2024-07-01,VLCC,15,0.5504
2024-07-01,苏伊士型,5,0.0778
2024-07-01,苏伊士型,10,0.2444
2024-07-01,苏伊士型,15,0.4444
2024-07-01,阿芙拉型,5,0.0333
2024-07-01,阿芙拉型,10,0.2000
2024-07-01,阿芙拉型,15,0.4133
2024-07-01,巴拿马型,5,0.1290
2024-07-01,巴拿马型,10,0.2903
2024-07-01,巴拿马型,15,0.4839
2024-08-01,巴拿马型,5,0.0645
2024-08-01,巴拿马型,10,0.2258
2024-08-01,巴拿马型,15,0.4839
2024-08-01,苏伊士型,5,0.0778
2024-08-01,苏伊士型,10,0.2444
2024-08-01,苏伊士型,15,0.4444
2024-08-01,VLCC,5,0.1008
2024-08-01,VLCC,10,0.3333
2024-08-01,VLCC,15,0.5504
2024-08-01,阿芙拉型,5,0.0333
2024-08-01,阿芙拉型,10,0.2000
2024-08-01,阿芙拉型,15,0.4133
2024-09-01,VLCC,5,0.1008
2024-09-01,VLCC,10,0.3333
2024-09-01,VLCC,15,0.5504
2024-09-01,苏伊士型,5,0.0778
2024-09-01,苏伊士型,10,0.2444
2024-09-01,苏伊士型,15,0.4556
2024-09-01,阿芙拉型,5,0.0333
2024-09-01,阿芙拉型,10,0.2000
2024-09-01,阿芙拉型,15,0.4133
2024-09-01,巴拿马型,5,0.0645
2024-09-01,巴拿马型,10,0.2258
2024-09-01,巴拿马型,15,0.4839
2024-10-01,巴拿马型,5,0.0806
2024-10-01,巴拿马型,10,0.2419
2024-10-01,巴拿马型,15,0.4839
2024-10-01,阿芙拉型,5,0.0667
2024-10-01,阿芙拉型,10,0.2333
2024-10-01,阿芙拉型,15,0.4533
2024-10-01,VLCC,5,0.1008
2024-10-01,VLCC,10,0.3333
2024-10-01,VLCC,15,0.5659
2024-10-01,苏伊士型,5,0.1111
2024-10-01,苏伊士型,10,0.2778
2024-10-01,苏伊士型,15,0.5000
2024-11-01,VLCC,5,0.1008
2024-11-01,VLCC,10,0.3333
2024-11-01,VLCC,15,0.5736
2024-11-01,苏伊士型,5,0.1111
2024-11-01,苏伊士型,10,0.2778
2024-11-01,苏伊士型,15,0.5000
2024-11-01,阿芙拉型,5,0.0667
2024-11-01,阿芙拉型,10,0.2333
2024-11-01,阿芙拉型,15,0.4533
2024-11-01,巴拿马型,5,0.0806
2024-11-01,巴拿马型,10,0.2419
2024-11-01,巴拿马型,15,0.4839
2024-12-01,VLCC,5,0.1163
2024-12-01,VLCC,10,0.3411
2024-12-01,VLCC,15,0.5814
2024-12-01,苏伊士型,5,0.1444
2024-12-01,苏伊士型,10,0.3333
2024-12-01,苏伊士型,15,0.5556
2024-12-01,巴拿马型,5,0.1452
2024-12-01,巴拿马型,10,0.3065
2024-12-01,巴拿马型,15,0.5000
2024-12-01,阿芙拉型,5,0.1067
2024-12-01,阿芙拉型,10,0.3067
2024-12-01,阿芙拉型,15,0.5333
2025-01-01,巴拿马型,5,0.1774
2025-01-01,巴拿马型,10,0.3387
2025-01-01,巴拿马型,15,0.5000
2025-01-01,阿芙拉型,5,0.1467
2025-01-01,阿芙拉型,10,0.3133
2025-01-01,阿芙拉型,15,0.5333
2025-01-01,苏伊士型,5,0.1556
2025-01-01,苏伊士型,10,0.3556
2025-01-01,苏伊士型,15,0.5556
2025-01-01,VLCC,5,0.1094
2025-01-01,VLCC,10,0.3359
2025-01-01,VLCC,15,0.5781
2025-02-01,巴拿马型,5,0.1707
2025-02-01,巴拿马型,10,0.3333
2025-02-01,巴拿马型,15,0.4959
2025-02-01,苏伊士型,5,0.1250
2025-02-01,苏伊士型,10,0.2955
2025-02-01,苏伊士型,15,0.5455
2025-02-01,VLCC,5,0.1111
2025-02-01,VLCC,10,0.3413
2025-02-01,VLCC,15,0.5794
2025-02-01,阿芙拉型,5,0.1611
2025-02-01,阿芙拉型,10,0.3289
2025-02-01,阿芙拉型,15,0.5302
2025-03-01,VLCC,5,0.1040
2025-03-01,VLCC,10,0.3360
2025-03-01,VLCC,15,0.5760
2025-03-01,苏伊士型,5,0.1200
2025-03-01,苏伊士型,10,0.2914
2025-03-01,苏伊士型,15,0.5429
2025-03-01,阿芙拉型,5,0.1438
2025-03-01,阿芙拉型,10,0.3151
2025-03-01,阿芙拉型,15,0.5205
2025-03-01,巴拿马型,5,0.1597
2025-03-01,巴拿马型,10,0.3277
