"DateTime","30-day Moving Average"
"2020-01-01 00:00:00",NaN
"2020-01-02 00:00:00",NaN
"2020-01-03 00:00:00",NaN
"2020-01-04 00:00:00",NaN
"2020-01-05 00:00:00",NaN
"2020-01-06 00:00:00",NaN
"2020-01-07 00:00:00",NaN
"2020-01-08 00:00:00",NaN
"2020-01-09 00:00:00",NaN
"2020-01-10 00:00:00",NaN
"2020-01-11 00:00:00",NaN
"2020-01-12 00:00:00",NaN
"2020-01-13 00:00:00",NaN
"2020-01-14 00:00:00",NaN
"2020-01-15 00:00:00",NaN
"2020-01-16 00:00:00",NaN
"2020-01-17 00:00:00",NaN
"2020-01-18 00:00:00",NaN
"2020-01-19 00:00:00",NaN
"2020-01-20 00:00:00",NaN
"2020-01-21 00:00:00",NaN
"2020-01-22 00:00:00",NaN
"2020-01-23 00:00:00",NaN
"2020-01-24 00:00:00",NaN
"2020-01-25 00:00:00",NaN
"2020-01-26 00:00:00",NaN
"2020-01-27 00:00:00",NaN
"2020-01-28 00:00:00",NaN
"2020-01-29 00:00:00",NaN
"2020-01-30 00:00:00",-17.84183814645679
"2020-01-31 00:00:00",-16.12699433319452
"2020-02-01 00:00:00",-16.57969974639396
"2020-02-02 00:00:00",-14.377166556237158
"2020-02-03 00:00:00",-13.319237048710008
"2020-02-04 00:00:00",-12.23628504558145
"2020-02-05 00:00:00",-13.58746680366109
"2020-02-06 00:00:00",-13.20086361094735
"2020-02-07 00:00:00",-13.894774779910321
"2020-02-08 00:00:00",-12.83754643000976
"2020-02-09 00:00:00",-12.40075660573809
"2020-02-10 00:00:00",-12.86880467202317
"2020-02-11 00:00:00",-13.292944372316951
"2020-02-12 00:00:00",-12.438311538611629
"2020-02-13 00:00:00",-12.50724102501681
"2020-02-14 00:00:00",-11.69204412167397
"2020-02-15 00:00:00",-9.88220423415869
"2020-02-16 00:00:00",-11.07656079034709
"2020-02-17 00:00:00",-10.84170056691286
"2020-02-18 00:00:00",-9.15738239732153
"2020-02-19 00:00:00",-9.51633919692761
"2020-02-20 00:00:00",-9.26608722441193
"2020-02-21 00:00:00",-8.25427848394597
"2020-02-22 00:00:00",-8.401312662353929
"2020-02-23 00:00:00",-8.49336783900756
"2020-02-24 00:00:00",-8.07348546737105
"2020-02-25 00:00:00",-7.55855445774503
"2020-02-26 00:00:00",-6.377609169821009
"2020-02-27 00:00:00",-6.01697913010094
"2020-02-28 00:00:00",-6.00866491667642
"2020-02-29 00:00:00",-6.00866491667642
"2020-03-01 00:00:00",-3.3898324046065795
"2020-03-02 00:00:00",-3.36764953099655
"2020-03-03 00:00:00",-2.89032688061176
"2020-03-04 00:00:00",-2.74082002000718
"2020-03-05 00:00:00",-1.1893095411330301
"2020-03-06 00:00:00",-3.68239405011958
"2020-03-07 00:00:00",-2.88062197392287
"2020-03-08 00:00:00",-4.34401044888382
"2020-03-09 00:00:00",-3.19499885365895
"2020-03-10 00:00:00",-2.21939947917555
"2020-03-11 00:00:00",-0.74923276995709
"2020-03-12 00:00:00",0.95084241286733
"2020-03-13 00:00:00",1.8950287167690898
"2020-03-14 00:00:00",1.84860059583154
"2020-03-15 00:00:00",-0.7713269157132799
"2020-03-16 00:00:00",-0.6652518266452
"2020-03-17 00:00:00",-2.2370728646272298
"2020-03-18 00:00:00",0.25721992916145003
"2020-03-19 00:00:00",0.95579891200194
"2020-03-20 00:00:00",-0.12192572121765
"2020-03-21 00:00:00",-0.73135413527044
"2020-03-22 00:00:00",-2.20681297641103
"2020-03-23 00:00:00",-2.07641588598613
"2020-03-24 00:00:00",-3.3857438660077896
"2020-03-25 00:00:00",-1.7140591729966101
"2020-03-26 00:00:00",-1.1686494118000599
"2020-03-27 00:00:00",-3.12606378873647
"2020-03-28 00:00:00",-5.27465221460435
"2020-03-29 00:00:00",-6.67067505816439
"2020-03-30 00:00:00",-5.32892833994962
"2020-03-31 00:00:00",-7.259887037242729
"2020-04-01 00:00:00",-7.39368650712796
"2020-04-02 00:00:00",-6.97852937192778
"2020-04-03 00:00:00",-9.65515036605748
"2020-04-04 00:00:00",-10.917838603508361
"2020-04-05 00:00:00",-10.28564738114744
"2020-04-06 00:00:00",-8.931272839368031
