Name,Vessel type,MMSI,IMO,Beneficial Owner,Registered Owner,Class,Builder,Operator,Technical Manager
0172 (Hull) China Merchants Jinling Shipyard,SMALL CHEMICAL TNKR,,1089651,Nanjing Yangyang Chemical,,,China Merchants Jinling Shipyard,Nanjing Yangyang Chemical,Nanjing Yangyang Chemical
02 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1016513,Yentec,,KRS,Pha Rung,Yentec,Yentec
03 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1016525,Yentec,,KRS,Pha Rung,Yentec,Yentec
04 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1044405,Yentec,,KRS,Pha Rung,Yentec,Yentec
05 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1044417,Yentec,,KRS,Pha Rung,Yentec,Yentec
065 (Hull) Nantong Changqingsha,SMALL CLEAN TNKR (Inland),,1094814,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
066 (Hull) Nantong Changqingsha,SMALL CLEAN TNKR (Inland),,1094826,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
067 (Hull) Nantong Changqingsha,SMALL CLEAN TNKR (Inland),,1094838,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
072 (Hull) Nantong,SMALL CLEAN TNKR,,1086506,Undisclosed,,,Unknown Yard,Undisclosed,Undisclosed
072 (Hull) Nantong Chang Qing Sha,SMALL CLEAN TNKR,,1086518,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
1 (Hull) Hyundai Heavy Industries Philippines,LR2 TNKR,,1101502,Undisclosed,,,Hyundai Heavy Industries Philippines,Undisclosed,Undisclosed
1 (Hull) Unknown Yard,SMALL CLEAN TNKR (Inland),,1049924,Undisclosed,,,Unknown Yard,Undisclosed,Undisclosed
10 (Hull) Nantong Zhenyang,SMALL CLEAN TNKR (Inland),,1098779,Undisclosed,,,Unknown Yard,Undisclosed,Undisclosed
101 Hyodong Chemi,SMALL CHEMICAL TNKR,441277000,9186467,Hyodong Shipping,HYODONG SHIPPING CO LTD,KRS,INP,Hyodong Shipping,Hyodong Shipping
10108846 (VVID) Jiangsu New Hantong,MR2 TNKR (Chemical / Product),,,,,,Jiangsu New Hantong Ship Heavy Industry,,
10113659 (VVID) Zvezda,AFRAMAX TNKR,,,Rosnefteflot,,,Zvezda,Rosnefteflot,Rosnefteflot
10113660 (VVID) Zvezda,AFRAMAX TNKR,,,Rosnefteflot,,,Zvezda,Rosnefteflot,Rosnefteflot
1012 (Hull) COSCO Zhoushan,SUEZMAX SHUTTLE TNKR (Dirty),,1028425,Knutsen NYK Offshore Tankers,,,COSCO Zhoushan,Knutsen NYK Offshore Tankers,Knutsen NYK Offshore Tankers
10122280 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Sun Enterprises,,,Hyundai Mipo,Sun Enterprises,Sun Enterprises
10122729 (VVID) Hyundai Vietnam Shipbuilding,MR2 TNKR,,,Masumoto Shipping,,,Hyundai Vietnam Shipbuilding,Masumoto Shipping,Masumoto Shipping
10123392 (VVID) New Times,SUEZMAX TNKR,,,SFI Energy,,,New Times Shipbuilding,SFI Energy,SFI Energy
10123393 (VVID) New Times,SUEZMAX TNKR,,,SFI Energy,,,New Times Shipbuilding,SFI Energy,SFI Energy
10126738 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Undisclosed,,,Hyundai Mipo,Undisclosed,Undisclosed
10128452 (VVID) New Times,SUEZMAX TNKR,,,Dynacom Tankers,,,New Times Shipbuilding,Dynacom Tankers,Dynacom Tankers
10128794 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10128795 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10128796 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10128797 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10129587 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10129588 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10129589 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10129590 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10130183 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown European,,,Hyundai Mipo,Unknown European,Unknown European
10130184 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown European,,,Hyundai Mipo,Unknown European,Unknown European
10130185 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown Far Eastern,,,Hyundai Mipo,Unknown Far Eastern,Unknown Far Eastern
10130186 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown Far Eastern,,,Hyundai Mipo,Unknown Far Eastern,Unknown Far Eastern
10130853 (VVID) Hyundai Mipo,MR2 TNKR,,,Nisshin Shipping,,,Hyundai Mipo,Nisshin Shipping,Nisshin Shipping
10130854 (VVID) Hyundai Mipo,MR2 TNKR,,,Nisshin Shipping,,,Hyundai Mipo,Nisshin Shipping,Nisshin Shipping
10137612 (VVID) CSSC OME,HEAVY LIFT (Semi Submersible),,,COSCO Shipping Specialized Carriers,,,Guangzhou CSSC Longxue Shipbuilding,COSCO Shipping Specialized Carriers,COSCO Shipping Specialized Carriers
10140331 (VVID) K Shipbuilding,MR2 TNKR,,,Undisclosed,,,K Shipbuilding,Undisclosed,Undisclosed
10141683 (VVID) K Shipbuilding,MR2 TNKR (Chemical / Product),,,KAMCO,,,K Shipbuilding,KAMCO,KAMCO
10141684 (VVID) K Shipbuilding,MR2 TNKR (Chemical / Product),,,KAMCO,,,K Shipbuilding,KAMCO,KAMCO
10142766 (VVID) China Merchant Jinling,SMALL CHEMICAL TNKR,,,Essberger Tankers,,,China Merchants Jinling Shipyard,Essberger Tankers,Essberger Tankers
10142767 (VVID) China Merchant Jinling,SMALL CHEMICAL TNKR,,,Essberger Tankers,,,China Merchants Jinling Shipyard,Essberger Tankers,Essberger Tankers
10142768 (VVID) China Merchant Jinling,SMALL CHEMICAL TNKR,,,Essberger Tankers,,,China Merchants Jinling Shipyard,Essberger Tankers,Essberger Tankers
10142769 (VVID) China Merchant Jinling,SMALL CHEMICAL TNKR,,,Essberger Tankers,,,China Merchants Jinling Shipyard,Essberger Tankers,Essberger Tankers
10143206 (VVID) Hyundai Mipo,MR2 TNKR,,,Undisclosed,,,Hyundai Mipo,Undisclosed,Undisclosed
10143214 (VVID) Hyundai Mipo,MR2 TNKR,,,Undisclosed,,,Hyundai Mipo,Undisclosed,Undisclosed
10143537 (VVID) Hyundai Mipo,MR2 TNKR,,,STX Marine Service,,,Hyundai Mipo,Pan Ocean,STX Marine Service
10143541 (VVID) Hyundai Mipo,MR2 TNKR,,,STX Marine Service,,,Hyundai Mipo,Pan Ocean,STX Marine Service
10143878 (VVID) Hyundai Mipo,MR2 TNKR,,,Unknown Japanese,,,Hyundai Mipo,Unknown Japanese,Unknown Japanese
10143879 (VVID) Hyundai Mipo,MR2 TNKR,,,Unknown Japanese,,,Hyundai Mipo,Unknown Japanese,Unknown Japanese
10143880 (VVID) Hyundai Mipo,MR2 TNKR,,,Unknown Japanese,,,Hyundai Mipo,Unknown Japanese,Unknown Japanese
10143881 (VVID) Hyundai Mipo,MR2 TNKR,,,Unknown Japanese,,,Hyundai Mipo,Unknown Japanese,Unknown Japanese
10148234 (VVID) Unknown Yard China,SMALL CLEAN TNKR (Bunkering),,,Vitol Bunkers,,,Unknown Yard China,Vitol Bunkers,Vitol Bunkers
10148235 (VVID) Unknown Yard China,SMALL CLEAN TNKR (Bunkering),,,Vitol Bunkers,,,Unknown Yard China,Vitol Bunkers,Vitol Bunkers
10149339 (VVID) DH Shipbuilding,LR2 TNKR,,,Tsakos Energy Navigation,,,DH Shipbuilding,Tsakos Energy Navigation,Tsakos Energy Navigation
10149350 (VVID) DH Shipbuilding,LR2 TNKR,,,Tsakos Energy Navigation,,,DH Shipbuilding,Tsakos Energy Navigation,Tsakos Energy Navigation
1015 (Hull) San Marine,SMALL CLEAN TNKR,,1083619,Undisclosed,,,San Marine,Undisclosed,Undisclosed
10150517 (VVID) DH Shipbuilding,LR2 TNKR,,,Eastern Mediterranean Maritime,,,DH Shipbuilding,Eastern Mediterranean Maritime,Eastern Mediterranean Maritime
10150518 (VVID) DH Shipbuilding,LR2 TNKR,,,Eastern Mediterranean Maritime,,,DH Shipbuilding,Eastern Mediterranean Maritime,Eastern Mediterranean Maritime
10156845 (VVID) China Merchant Jinling,SMALL CLEAN TNKR (Chemical / Product),,,Erik Thun Group,,,China Merchants Jinling Shipyard,Erik Thun Group,Furetank Rederi
10162771 (VVID) China Merchant Jinling Shipyard,SMALL CLEAN TNKR (Chemical / Product),,,Furebear,,,China Merchants Jinling Shipyard,Furebear,Furebear
10162772 (VVID) China Merchant Jinling Shipyard,SMALL CLEAN TNKR (Chemical / Product),,,Furebear,,,China Merchants Jinling Shipyard,Furebear,Furebear
10162773 (VVID) China Merchant Jinling Shipyard,SMALL CLEAN TNKR (Chemical / Product),,,Furebear,,,China Merchants Jinling Shipyard,Furebear,Furebear
10162774 (VVID) China Merchant Jinling Shipyard,SMALL CLEAN TNKR (Chemical / Product),,,Furebear,,,China Merchants Jinling Shipyard,Furebear,Furebear
10162978 (VVID) CSSC OME,HEAVY LIFT (Semi Submersible),,,COSCO Shipping Specialized Carriers,,,Guangzhou CSSC Longxue Shipbuilding,COSCO Shipping Specialized Carriers,COSCO Shipping Specialized Carriers
10166562 (VVID) Genka Shipbuilding,SMALL CLEAN TNKR (Chemical / Product),,,Oljola,,BV,Genka,Stena Oil,Oljola
10169452 (VVID) Concordia Damen,SMALL CLEAN TNKR (Inland),,,Quinto Scheepvaart,,,Concordia Damen,Quinto Scheepvaart,Quinto Scheepvaart
10169699 (VVID) Ferus Smit,SMALL CLEAN TNKR,,,Erik Thun Group,,,Ferus Smit,Erik Thun Group,Erik Thun Group
10169700 (VVID) Ferus Smit,SMALL CLEAN TNKR,,,Erik Thun Group,,,Ferus Smit,Erik Thun Group,Erik Thun Group
10169701 (VVID) Ferus Smit,SMALL CLEAN TNKR,,,Erik Thun Group,,,Ferus Smit,Erik Thun Group,Erik Thun Group
10169702 (VVID) Ferus Smit,SMALL CLEAN TNKR,,,Erik Thun Group,,,Ferus Smit,Erik Thun Group,Erik Thun Group
10169993 (VVID) Dalian Shipbuilding Industry Corp,AFRAMAX TNKR,,,Seatankers Management,,,Dalian Shipbuilding Industry Corp,Seatankers Management,Seatankers Management
10169995 (VVID) Dalian Shipbuilding Industry Corp,AFRAMAX TNKR,,#VALUE!,Seatankers Management,,,Dalian Shipbuilding Industry Corp,Seatankers Management,Seatankers Management
10169997 (VVID) Dalian Shipbuilding Industry Corp,AFRAMAX TNKR,,,Seatankers Management,,,Dalian Shipbuilding Industry Corp,Seatankers Management,Seatankers Management
10173211 (VVID) Daewoo,SUEZMAX TNKR,,1014876,Evalend Shipping,,,Hyundai Samho Heavy Ind,Evalend Shipping,Evalend Shipping
10173287 (VVID) Hyundai Mipo,MR2 TNKR,,,Nissen Kaiun,,,Hyundai Mipo,Nissen Kaiun,Nissen Kaiun
10173288 (VVID) Hyundai Mipo,MR2 TNKR,,,Nissen Kaiun,,,Hyundai Mipo,Nissen Kaiun,Nissen Kaiun
10173289 (VVID) Hyundai Mipo,MR2 TNKR,,,Nissen Kaiun,,,Hyundai Mipo,Nissen Kaiun,Nissen Kaiun
10173290 (VVID) Hyundai Mipo,MR2 TNKR,,,Nissen Kaiun,,,Hyundai Mipo,Nissen Kaiun,Nissen Kaiun
10173661 (VVID) Chengxi Shipyard,SMALL DIRTY TNKR (Asphalt),,,Kumiai Senpaku,,,Chengxi Shipyard,Kumiai Senpaku,Kumiai Senpaku
10173896 (VVID) Unknown Yard,SMALL CLEAN TNKR,,,Marex Maritime,,,Unknown Yard Japan,Uni Tankers AS,Marex Maritime
10173900 (VVID) Unknown Yard,SMALL CLEAN TNKR,,,Marex Maritime,,,Unknown Yard Japan,Uni Tankers AS,Marex Maritime
10173915 (VVID) New Times Shipbuilding,SUEZMAX TNKR,,,Capital Ship Management,,,New Times Shipbuilding,Capital Ship Management,Capital Ship Management
10173921 (VVID) New Times Shipbuilding,SUEZMAX TNKR,,,Capital Ship Management,,,New Times Shipbuilding,Capital Ship Management,Capital Ship Management
10174520 (VVID) Jiangsu New Hantong,LR2 TNKR,,1023944,TRF Ship Management,,,Jiangsu New Hantong Ship Heavy Industry,TRF Ship Management,TRF Ship Management
10175016 (VVID) Hyundai Mipo,MR2 TNKR,,,Undisclosed,,,Hyundai Mipo,Undisclosed,Undisclosed
10175017 (VVID) Hyundai Mipo,MR2 TNKR,,,Undisclosed,,,Hyundai Mipo,Undisclosed,Undisclosed
10177262 (VVID) Nihon,SUEZMAX TNKR,,,Alberta Shipmanagement,,,Nihon Shipyard,Alberta Shipmanagement,Alberta Shipmanagement
10177263 (VVID) Nihon,SUEZMAX TNKR,,,Alberta Shipmanagement,,,Nihon Shipyard,Alberta Shipmanagement,Alberta Shipmanagement
10177501 (VVID) CSSC OME,MR2 TNKR,,,Hafnia,,,Guangzhou CSSC Longxue Shipbuilding,Hafnia,Hafnia
10177502 (VVID) CSSC OME,MR2 TNKR,,,Hafnia,,,Guangzhou CSSC Longxue Shipbuilding,Hafnia,Hafnia
10177503 (VVID) CSSC OME,MR2 TNKR,,,Hafnia,,,Guangzhou CSSC Longxue Shipbuilding,Hafnia,Hafnia
10177504 (VVID) CSSC OME,MR2 TNKR,,,Hafnia,,,Guangzhou CSSC Longxue Shipbuilding,Hafnia,Hafnia
10178307 (VVID) Imabari,MR2 TNKR,,,Densay Shipping,,,Imabari,Densay Shipping,Densay Shipping
10178384 (VVID) Zhoushan Changhong International,LR2 TNKR,,,K and O Shipmanagement,,,Zhoushan Changhong International,K and O Shipmanagement,K and O Shipmanagement
10178385 (VVID) Zhoushan Changhong International,LR2 TNKR,,,K and O Shipmanagement,,,Zhoushan Changhong International,K and O Shipmanagement,K and O Shipmanagement
10178386 (VVID) Zhoushan Changhong International,LR2 TNKR,,,K and O Shipmanagement,,,Zhoushan Changhong International,K and O Shipmanagement,K and O Shipmanagement
10178387 (VVID) Zhoushan Changhong International,LR2 TNKR,,,K and O Shipmanagement,,,Zhoushan Changhong International,K and O Shipmanagement,K and O Shipmanagement
10179080 (VVID) China Merchant Jinling,25 STAINLESS STEEL,,,Junzheng Group,,,China Merchants Jinling Shipyard,Stolt Tankers,Junzheng Group
10179081 (VVID) China Merchant Jinling,25 STAINLESS STEEL,,,Junzheng Group,,,China Merchants Jinling Shipyard,Stolt Tankers,Junzheng Group
10179082 (VVID) China Merchant Jinling,25 STAINLESS STEEL,,,Junzheng Group,,,China Merchants Jinling Shipyard,Stolt Tankers,Junzheng Group
10179083 (VVID) China Merchant Jinling,25 STAINLESS STEEL,,,Junzheng Group,,,China Merchants Jinling Shipyard,Stolt Tankers,Junzheng Group
10179260 (VVID) China Merchant Jinling,SMALL CLEAN TNKR (Chemical / Product),,,Sirius Shipping,,,China Merchants Jinling Shipyard,Sirius Shipping,Sirius Shipping
10179261 (VVID) China Merchant Jinling,SMALL CLEAN TNKR (Chemical / Product),,,Sirius Shipping,,,China Merchants Jinling Shipyard,Sirius Shipping,Sirius Shipping
10179508 (VVID) China Merchant Jinling,SMALL CLEAN TNKR (Chemical / Product),,,Furebear,,,China Merchants Jinling Shipyard,Furebear,Furebear
10179509 (VVID) China Merchant Jinling,SMALL CLEAN TNKR (Chemical / Product),,,Furebear,,,China Merchants Jinling Shipyard,Furebear,Furebear
10182008 (VVID) Wuhu Xinlian Shipbuilding,SUPERSEGREGATOR,,,Stolt Tankers,,,Wuhu Xinlian Shipbuilding,Stolt Tankers,Stolt Tankers
10182009 (VVID) Wuhu Xinlian Shipbuilding,SUPERSEGREGATOR,,,Stolt Tankers,,,Wuhu Xinlian Shipbuilding,Stolt Tankers,Stolt Tankers
10182010 (VVID) Wuhu Xinlian Shipbuilding,SUPERSEGREGATOR,,,Stolt Tankers,,,Wuhu Xinlian Shipbuilding,Stolt Tankers,Stolt Tankers
10182011 (VVID) Wuhu Xinlian Shipbuilding,SUPERSEGREGATOR,,,Stolt Tankers,,,Wuhu Xinlian Shipbuilding,Stolt Tankers,Stolt Tankers
10182012 (VVID) Wuhu Xinlian Shipbuilding,SUPERSEGREGATOR,,,Stolt Tankers,,,Wuhu Xinlian Shipbuilding,Stolt Tankers,Stolt Tankers
10182013 (VVID) Wuhu Xinlian Shipbuilding,SUPERSEGREGATOR,,,Stolt Tankers,,,Wuhu Xinlian Shipbuilding,Stolt Tankers,Stolt Tankers
10182176 (VVID) Jiangsu Yangzi Mitsui,MR2 TNKR,,,Lepta Shipping,,,Jiangsu YangziMitsui,Lepta Shipping,Lepta Shipping
10182177 (VVID) Jiangsu Yangzi Mitsui,MR2 TNKR,,,Lepta Shipping,,,Jiangsu YangziMitsui,Lepta Shipping,Lepta Shipping
10183929 (VVD) COSCO Dalian,MR2 TNKR,,,COSCO Shipping Energy Transportation,,,COSCO Dalian,COSCO Shipping Energy Transportation,COSCO Shipping Energy Transportation
10185055 (VVID) DSIC,AFRAMAX TNKR,,,Arcadia Shipmanagement,,,Dalian Shipbuilding Industry Corp,Arcadia Shipmanagement,Arcadia Shipmanagement
10185056 (VVID) DSIC,AFRAMAX TNKR,,,Arcadia Shipmanagement,,,Dalian Shipbuilding Industry Corp,Arcadia Shipmanagement,Arcadia Shipmanagement
10185057 (VVID) DSIC,AFRAMAX TNKR,,,Arcadia Shipmanagement,,,Dalian Shipbuilding Industry Corp,Arcadia Shipmanagement,Arcadia Shipmanagement
10185058 (VVID) DSIC,AFRAMAX TNKR,,,Arcadia Shipmanagement,,,Dalian Shipbuilding Industry Corp,Arcadia Shipmanagement,Arcadia Shipmanagement
10187304 (VVID) Hyundai Vietnam,LR2 TNKR,,,TransPetrol Maritime Services,,,Hyundai Vietnam Shipbuilding,TransPetrol Maritime Services,TransPetrol Maritime Services
10187497 (VVID) Sumitomo,AFRAMAX TNKR,,,Samos Steamship,,,Sumitomo,Samos Steamship,Samos Steamship
10187587 (VVID) Hanwha Ocean,VLCC,,,DHT Holdings Inc,,,Hanwha Ocean,DHT Holdings Inc,DHT Holdings Inc
10187588 (VVID) Hanwha Ocean,VLCC,,,DHT Holdings Inc,,,Hanwha Ocean,DHT Holdings Inc,DHT Holdings Inc
10187591 (VVID) Hyundai Samho,VLCC,,,DHT Holdings Inc,,,Hyundai Samho Heavy Ind,DHT Holdings Inc,DHT Holdings Inc
10187592 (VVID) Hyundai Samho,VLCC,,,DHT Holdings Inc,,,Hyundai Samho Heavy Ind,DHT Holdings Inc,DHT Holdings Inc
10187985 (VVID) Hyundai Vietnam,LR2 TNKR,,1056733,Latsco Shipping,,,Hyundai Vietnam Shipbuilding,Latsco Shipping,Latsco Shipping
10187986 (VVID) Hyundai Vietnam,LR2 TNKR,,1056721,Latsco Shipping,,,Hyundai Vietnam Shipbuilding,Latsco Shipping,Latsco Shipping
10187987 (VVID) Hyundai Vietnam,LR2 TNKR,,1056719,Latsco Shipping,,,Hyundai Vietnam Shipbuilding,Latsco Shipping,Latsco Shipping
10187988 (VVID) Hyundai Vietnam,LR2 TNKR,,1056707,Latsco Shipping,,,Hyundai Vietnam Shipbuilding,Latsco Shipping,Latsco Shipping
10188262 (VVID) K Shipbuilding,MR2 TNKR,,,Chemnav Shipmanagement,,,K Shipbuilding,Chemnav Shipmanagement,Chemnav Shipmanagement
10188263 (VVID) Jiangsu New Hantong,SUEZMAX TNKR,,,Cardiff Marine,,,Jiangsu New Hantong Ship Heavy Industry,Cardiff Marine,Cardiff Marine
10188264 (VVID) Jiangsu New Hantong,SUEZMAX TNKR,,,Cardiff Marine,,,Jiangsu New Hantong Ship Heavy Industry,Cardiff Marine,Cardiff Marine
10189166 (VVID) Wuhu,MR2 TNKR (Chemical / Product),,,EuroGreen Maritime,,,Wuhu Xinlian Shipbuilding,EuroGreen Maritime,V Group
10189167 (VVID) Wuhu,MR2 TNKR (Chemical / Product),,,EuroGreen Maritime,,,Wuhu Xinlian Shipbuilding,EuroGreen Maritime,V Group
10189168 (VVID) Wuhu,MR2 TNKR (Chemical / Product),,,EuroGreen Maritime,,,Wuhu Xinlian Shipbuilding,EuroGreen Maritime,V Group
10189169 (VVID) Wuhu,MR2 TNKR (Chemical / Product),,,EuroGreen Maritime,,,Wuhu Xinlian Shipbuilding,EuroGreen Maritime,V Group
10189376 (VVID) Fujian Southeast,SMALL CLEAN TNKR (Chemical / Product),,,Seacon Shipping Group,,,Fujian Southeast,Seacon Shipping Group,Seacon Shipping Group
10189377 (VVID) Fujian Southeast,SMALL CLEAN TNKR (Chemical / Product),,,Seacon Shipping Group,,,Fujian Southeast,Seacon Shipping Group,Seacon Shipping Group
10189797 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189798 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189799 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189800 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189801 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189802 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189803 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189804 (VVID) Jiangxi New Jiangzhou,SMALL CHEMICAL TNKR,,,Simonsen MH,,,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Simonsen MH,Simonsen MH
10189992 (VVID) SWS,VLCC,,,CSSC Shipping,,,Shanghai Waigaoqiao Shipbuilding,CSSC Shipping,CSSC Shipping
10189993 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10189994 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10189995 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10189996 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10189997 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10189998 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10189999 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10190000 (VVID) Fujian Mawei,MR2 TNKR,,,Eastern Pacific Shipping,,,Fujian Mawei Shipbuilding,Eastern Pacific Shipping,Eastern Pacific Shipping
10191080 (VVID) Jiangsu New Yangzijiang,MR2 TNKR,,,Montanari Navigazione,,,Jiangsu New Yangzijiang,Montanari Navigazione,Montanari Navigazione
10191081 (VVID) Jiangsu New Yangzijiang,MR2 TNKR,,,Montanari Navigazione,,,Jiangsu New Yangzijiang,Montanari Navigazione,Montanari Navigazione
10193270 (VVID) Taizhou Maple Leaf Shipbuilding,SMALL CLEAN TNKR (Bunkering),,,Fratelli Cosulich,,,Taizhou Maple Leaf Shipbuilding,Fratelli Cosulich,Fratelli Cosulich
10193271 (VVID) Taizhou Maple Leaf Shipbuilding,SMALL CLEAN TNKR (Bunkering),,,Fratelli Cosulich,,,Taizhou Maple Leaf Shipbuilding,Fratelli Cosulich,Fratelli Cosulich
10193944 (VVID) Chengxi Shipyard,SMALL CLEAN TNKR (Chemical / Product),,,Trafigura Beheer BV,,,Chengxi Shipyard,Trafigura Beheer BV,Trafigura Beheer BV
10194214 (VVID) Wuhu Xinlian Shipbuilding,SMALL CLEAN TNKR (Chemical / Product),,1079357,Donsotank Rederi,,,Wuhu Xinlian Shipbuilding,Donsotank Rederi,Donsotank Rederi
10194634 (VVID) Zhejiang Haoyou,SMALL CHEMICAL TNKR,,,Alita International Shipping,,,Zhejiang Haoyou Shipbuilding,Alita International Shipping,Alita International Shipping
10194683 (VVID) Wuchang Shipbuilding Industry Group,25 STAINLESS STEEL,,,Asia Pacific Shipping,,,Wuchang Shipbuilding Industry Group,Asia Pacific Shipping,Asia Pacific Shipping
10194684 (VVID) Wuchang Shipbuilding Industry Group,25 STAINLESS STEEL,,,Asia Pacific Shipping,,,Wuchang Shipbuilding Industry Group,Asia Pacific Shipping,Asia Pacific Shipping
10194689 (VVID) Wuhu Xinlian Shipbuilding,25 STAINLESS STEEL,,,Asia Pacific Shipping,,,Wuhu Xinlian Shipbuilding,Asia Pacific Shipping,Asia Pacific Shipping
10194690 (VVID) Wuhu Xinlian Shipbuilding,25 STAINLESS STEEL,,,Asia Pacific Shipping,,,Wuhu Xinlian Shipbuilding,Asia Pacific Shipping,Asia Pacific Shipping
10195511 (VVID) Unknown Yard,SUPERSEGREGATOR,,,Odfjell Tankers,,,Unknown Yard,Odfjell Tankers,Odfjell Tankers
10195512 (VVID) Unknown Yard,SUPERSEGREGATOR,,,Odfjell Tankers,,,Unknown Yard,Odfjell Tankers,Odfjell Tankers
10195990 (VVID) Guangzhou CSSC Longxue Shipbuilding,MR2 TNKR,,,Leonhardt and Blumberg,,,Guangzhou CSSC Longxue Shipbuilding,Leonhardt and Blumberg,Leonhardt and Blumberg
10195991 (VVID) Guangzhou CSSC Longxue Shipbuilding,MR2 TNKR,,,Leonhardt and Blumberg,,,Guangzhou CSSC Longxue Shipbuilding,Leonhardt and Blumberg,Leonhardt and Blumberg
10196157 (VVID) Unknown Yard China,MR2 TNKR,,,Champion Tankers AS,,,Unknown Yard China,Champion Tankers AS,Champion Tankers AS
