Name,Vessel type,MMSI,IMO,Beneficial Owner,Registered Owner,Class,Builder,Operator,Technical Manager
Sistraum,SMALL CLEAN TNKR (Bunkering),273333130,8008412,Vexoil Bunkering,SCADAR LLC,RMRS,Bolsones,Vexoil Bunkering,Vexoil Bunkering
Siteam Actinia,MR1 TNKR (Chemical / Product),,8917077,Team Tankers International,,LRS,Uljanik Brodogradiliste,Team Tankers International,Team Tankers International
Siteam Anatas,MR1 TNKR (Chemical / Product),,8301204,Undisclosed,,withdrawn from DNV,Uljanik Brodogradiliste,Undisclosed,Undisclosed
Siteam Anja,MR2 TNKR (Chemical / Product),538003176,9111058,Team Tankers International,EITZEN CHEMICAL SINGAPORE PTE,LRS,Stocznia Szczecin Nowa,Team Tankers International,Team Tankers International
Siteam Mars,MR2 TNKR (Chemical / Product),,7926253,Team Tankers International,,RP,Sanoyas,Team Tankers International,Team Tankers International
Siti Maryam,SMALL CLEAN TNKR,,1086996,Undisclosed,UNKNOWN,,Unknown Yard,Undisclosed,Undisclosed
Situla,SMALL CLEAN TNKR,232003146,6505325,Unknown Nigerian,UPSTREAM SHIPPING LTD,withdrawn from LRS,Detlef Hegemann Rolandwerft,Unknown Nigerian,Unknown Nigerian
Siya Ram,MR1 TNKR,304857000,9275256,HP Shipmanagement,HPJ HOLDINGS LTD,BV,Dalian Shipyard,HP Shipmanagement,HP Shipmanagement
Siziman,SMALL CLEAN TNKR,273334330,8711875,Far Eastern Tanker,BUSSOLA MANAGEMENT INC LTD,RMRS,Rousse,Far Eastern Tanker,Far Eastern Tanker
SJ Hope,SMALL CLEAN TNKR (Chemical / Product),441943000,9478080,SJ Tanker Co,SJ TANKER CO LTD,KRS,Kwang Sung,SJ Tanker Co,SJ Tanker Co
SJ Mariner 1,SMALL DIRTY TNKR,457501000,8801759,SJ Agency and Ship Management,SJ MARINER TRADING CO LTD,withdrawn from KRS,Sasaki,SJ Agency and Ship Management,Fengyuan International Marine Services Co
SJ Satu,SMALL CLEAN TNKR,533000313,8989082,Yong An Shipping,TULUS PERINTIS SDN BHD,withdrawn from ABS,Panyu Lingshan Shipyard,Yong An Shipping,Yong An Shipping
SJW Gold Line,SMALL CLEAN TNKR (Chemical / Product),525100910,9057771,Sinar Jaya Wijaya,SINAR JAYA WIJAYA PT,withdrawn from NKK,Fujishin,Sinar Jaya Wijaya,Sinar Jaya Wijaya
SK Line 1,SMALL CLEAN TNKR (Chemical / Product),563536000,9705940,PH Shipping,PENG HONG PTE LTD,BV,Samudra Marine,PH Shipping,Global Radiance Ship Management
Skadi,AFRAMAX TNKR,352421000,9230971,Skadi,SKADI LTD,LRS,Sumitomo,Skadi,Sealion Ship Management
Skagerrak,AFRAMAX TNKR,,7370856,Undisclosed,,PRS,Mitsubishi HI,Undisclosed,Undisclosed
Skawhegan,MR1 TNKR (Chemical / Product),,8004208,Delfi Tankers,SKAWHEGAN ENTERPRISES INC,NKK,Hashihama Tadotsu,Delfi Tankers,Delfi Tankers
Skill,SUEZMAX TNKR,,8011809,Xihe Group,XIN DUN SHIPPING PTE LTD,LRS,Harland and Wolff,Xihe Group,Xihe Group
Skinny Crow,SMALL CLEAN TNKR,671024000,8986054,Ocean Marine Management Inc,INTERNATIONAL CARGO HANDLERS,Other,RTC Shipbuilding,Ocean Marine Management Inc,Ocean Marine Management Inc
Skipjack,LR1 TNKR,538003156,8615564,Prime Tanker Management,,withdrawn from DNV,B and W,Prime Tanker Management,Prime Tanker Management
Skog,PALLETISED CARGO,258006930,8912039,Norwest Ship Management,NORWEST SHIP MANAGEMENT AS,DNV,Titovo,Norwest Ship Management,Norwest Ship Management
Skopelos,VLCC,241905000,9381720,Aeolos Management,SKOPELOS MARITIME CORP,ABS,Jiangnan Shanghai Changxing HI,Aeolos Management,Aeolos Management
Skopelos,VLCC,,7381116,Undisclosed,,,Sumitomo,Undisclosed,Undisclosed
Skorpion,SMALL CLEAN TNKR,276462000,7004342,Starbunker,SKORPSHIPPING OU,LRS,Palmer Johnson,Starbunker,Agmar Ou
SKS Catherine,SMALL CLEAN TNKR,548823200,9174402,KS Sea Port,KS SEA PORT CO LTD,BV,Baseco Cargolift,KS Sea Port,KS Sea Port
SKS Driva,LR2 TNKR,311001242,9428970,SKS Greentankers Holding JV,SKS SHIPOWNING 2 LTD,DNV,Hyundai Samho Heavy Ind,SKS Pool,OSM Bergen
SKS Sofia,SMALL CLEAN TNKR,548396200,8874483,KS Sea Port,TITAN TANKER CO LTD,withdrawn from BV,Baseco Cargolift,KS Sea Port,KS Sea Port
SKS Tanaro,AFRAMAX TNKR,311051700,9172662,SKS Tankers Holding AS,SKS OBO & TANKERS AS,DNV,Hyundai Heavy Ind Ulsan Shipyard,SKS Tankers Holding AS,SKS Tankers Holding AS
SKS Tiete,AFRAMAX TNKR,311000313,9172650,SKS Tankers Holding AS,SKS OBO & TANKERS AS,DNV,Hyundai Heavy Ind Ulsan Shipyard,SKS Tankers Holding AS,SKS Tankers Holding AS
SKS Torrens,AFRAMAX TNKR,259956000,9161273,SKS Tankers Holding AS,SKS OBO & TANKERS AS,DNV,Hyundai Heavy Ind Ulsan Shipyard,SKS Tankers Holding AS,SKS Tankers Holding AS
SKS Trinity,AFRAMAX TNKR,259957000,9161285,SKS Tankers Holding AS,SKS OBO & TANKERS AS,DNV,Hyundai Heavy Ind Ulsan Shipyard,SKS Tankers Holding AS,SKS Tankers Holding AS
SKS Tugela,AFRAMAX TNKR,311051800,9133460,SKS Tankers Holding AS,SKS OBO & TANKERS AS,DNV,Hyundai Heavy Ind Ulsan Shipyard,SKS Tankers Holding AS,SKS Tankers Holding AS
Skuteviken,SMALL CLEAN TNKR (Chemical / Product),226344000,9803651,Viken Shipping AS,VIKEN CRUDE AS,DNV,Dae Sun,TotalEnergies,V Group
Sky,MR1 TNKR (Chemical / Product),538009364,9380350,Pareto Maritime Services,PARTANKERS XXIII AS,NKK,Hyundai Mipo,Genel Denizcilik,Interunity Management
Sky Ace 3,SMALL CHEMICAL TNKR,441638000,9062192,Keo Young,KYS CO LTD,KRS,Hakata Zosen,Keo Young,Keo Young
