X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
-5400902.76740129,-2937930.56402321,port885,Paranagua,Brazil,BRA,South America,"Paranagua, Brazil",-25.50523872,-48.51713504,2079,534,914,80,73,478,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,8.45,4.54,BR PNG,b30593952ab5414d86f56b8a64cc391d,Brazil,575
-4112201.19294831,-1212309.00397343,port941,Port De Aracaju,Brazil,BRA,South America,"Port De Aracaju, Brazil",-10.82536946,-36.94053183,61,0,44,4,0,13,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.12,0.12,,67b5cc34aef54d38be1d738bea0c5a62,Brazil,576
-4286390.94989247,-1454765.83890659,port944,Port De Salvador,Brazil,BRA,South America,"Port De Salvador, Brazil",-12.95652543,-38.50530504,1252,463,214,63,28,484,Mineral Products,Vegetable Products,Wood & Wood Products,2.95,0.5,,b41ece62d76a4fdda9717cd6c98d4baf,Brazil,577
-5701715.35044095,-3499239.16445106,port997,Porto Alegre,Brazil,BRA,South America,"Porto Alegre, Brazil",-29.96645881,-51.21938045,152,0,54,5,0,93,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,0.04,0,BR POA,a23c6a9e96fd4d59bfd57de6791e5346,Brazil,578
-3976667.20376618,-1082684.00041156,port1000,Porto De Maceio,Brazil,BRA,South America,"Porto De Maceio, Brazil",-9.679541135,-35.72300929,224,0,84,9,0,131,Chemical & Allied Industries,Mineral Products,Prepared Foodstuffs & Beverages,0.41,0.19,,c51cd9cc46b6452f80b6dc31b5d49ef3,Brazil,579
-4282631.76415925,-413667.544917165,port1001,Fortaleza (Mucuripe),Brazil,BRA,South America,"Fortaleza (Mucuripe), Brazil",-3.713436299,-38.4715357,440,71,80,21,0,268,Mineral Products,Metals,Vegetable Products,1.08,0.13,,09d535fefe544314b66e3ff72fb42159,Brazil,580
-3893166.57060761,-937267.074947421,port1002,Porto De Suape,Brazil,BRA,South America,"Porto De Suape, Brazil",-8.389473356,-34.97291034,1430,493,59,34,54,790,Mineral Products,Chemical & Allied Industries,Wood & Wood Products,4.97,0.72,,a99d2acf2b544278ac9a38257c98373b,Brazil,581
-4319718.58388608,-394111.967453295,port1010,Porto Pecem,Brazil,BRA,South America,"Porto Pecem, Brazil",-3.538117253,-38.80469227,704,419,207,45,0,33,Wood & Wood Products,Mineral Products,Metals,3.09,0.48,BR PEC,131bbbb5e6ef41179aa0dbee52af09da,Brazil,582
-4459246.33457202,-2254028.39082702,port1012,Portocel,Brazil,BRA,South America,"Portocel, Brazil",-19.8395104,-40.05809138,257,41,30,157,0,29,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.07,0.48,,bb298bf8f6d942ac86f880e2d8d49d48,Brazil,583
-3881544.49739505,-899096.426890449,port1094,Recife,Brazil,BRA,South America,"Recife, Brazil",-8.050103675,-34.86850748,123,1,100,20,0,2,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,0.32,0.05,BR REC,be6519cd75504ecc965faed4b08a1fb0,Brazil,584
-4808945.2326687,-2617836.52537263,port1103,Rio De Janeiro,Brazil,BRA,South America,"Rio De Janeiro, Brazil",-22.88267673,-43.19949003,2036,713,316,184,57,766,Mineral Products,Chemical & Allied Industries,Wood & Wood Products,5.4,1.76,,9fad4485076a44058f1473ec8ba0c6a1,Brazil,585
