mmsi,ship_name,imo,country,operator,build_year,ship_type,deadweight,source,match_score,match_reason,sdn_number,sdn_name,sdn_type,sdn_program,sdn_country,sdn_remarks,sdn_extra
655990000,Faas,9233208,Malawi,Faas Shipping,2002.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9233208,39688,RAIN DROP,vessel,SDGT,Cook Islands,-0- ,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9233208; MMSI 518998461; Linked To: BLUE BERRI SHIPPING INC."
655071176,Fabule,9276573,Malawi,Sun Science International,2004.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9276573,53150,CORONA FUN,vessel,IRAN-EO13902,Panama,-0- ,"Vessel Registration Identification IMO 9276573; MMSI 352003958; Linked To: SUN SCIENCE INTERNATIONAL CO., LIMITED."
647553034,Fenghuang,9236248,Madagascar,Triviality Shipping Services,2002.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9236248,52687,PHOENIX I,vessel,IRAN-EO13846,Cook Islands,-0- ,Vessel Registration Identification IMO 9236248; MMSI 518999317; Linked To: ALKONOST MARITIME DMCC.
273270180,Forwarder,9419448,Russia,Undisclosed,2009.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9419448,51807,HENG TAI,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9419448; MMSI 352003963; Linked To: HENGTAI SHIPPING LIMITED."
352003485,Freda,9402469,Panama,Hera Gam,2009.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9402469,51787,FREDA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9402469; MMSI 352003485; Linked To: HERA GAM LIMITED."
679881013,Freya,9238052,Zimbabwe,Hong Kong Rong Da Shipping,2002.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9238052,51752,CLIO,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9238052; MMSI 352001855; Linked To: HONG KONG YONGYE SHIPPING LIMITED."
518998343,Frunze,9263643,Cook Islands,Undisclosed,2003.0,LR2 TNKR,0000-00-00,archive,100,IMO=9263643,50972,FRUNZE,vessel,SDGT] [IFSR,Cook Islands,-0- ,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9263643; MMSI 518998343; Linked To: GEMINI MARINE LIMITED."
273279460,Gallileo,9256860,Russia,Burevestmarin,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9256860,34942,PEGAS,vessel,RUSSIA-EO14024,Russia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9256860 (Russia); f.k.a. 'PERUN'; Linked To: PSB LIZING OOO.
613442815,Guanyin,9299707,Cameroon,Undisclosed,2005.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9299707,54912,GUANYIN,vessel,IRAN-EO13902,Liberia,-0- ,Vessel Year of Build 2005; Vessel Registration Identification IMO 9299707; MMSI 636012383; Linked To: SILVER TETRA MARINE CO.
273272260,Gustav,9436006,Russia,Idas LLC,2009.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9436006,51600,SAMSUN,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9436006; MMSI 352002486; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
655180000,Hai Long,9256468,Malawi,Undisclosed,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9256468,48412,ELSA,vessel,SDGT,Belize,-0- ,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9256468; MMSI 312038000; Linked To: OCEANLINK MARITIME DMCC."
750013000,Halo 6,9232448,Guyana,Star Ocean Shipmanage,2002.0,LR2 TNKR,0000-00-00,archive,100,IMO=9232448,50844,ETERNAL 8,vessel,SDGT,Panama,-0- ,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9232448; MMSI 352001640; Linked To: STAR OCEAN SHIPMANAGE LTD."
352179000,Horae,9413004,Panama,Zimar Shipping,2009.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9413004,56955,HORAE,vessel,IRAN-EO13902,Panama,-0- ,Vessel Year of Build 2009; Vessel Registration Identification IMO 9413004; MMSI 352179000; Linked To: FLEET TANQO PRIVATE LIMITED.
0,Icaro,9038842,nan,PDV Marina,1993.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9038842,28012,ICARO,vessel,VENEZUELA-EO13884,Panama,-0- ,"Vessel Registration Identification IMO 9038842; Linked To: PETROLEOS DE VENEZUELA, S.A."
273275360,Integrator,9436941,Russia,Elgon Maritime Corp,2010.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9436941,51699,ATTICA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Gabon,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9436941; MMSI 626278000; Linked To: ELGON MARITIME CORPORATION."
273277060,Jagger,9354301,Russia,North Fleet,2008.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9354301,51496,ZALIV AMERIKA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9354301; MMSI 352003366; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
461000258,Jasmine,9354313,Oman,Sovcomflot,2008.0,LR2 TNKR,0000-00-00,archive,100,IMO=9354313,51888,ZALIV AMURSKIY,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9354313; MMSI 352003364; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
273264590,Kapitan Kostichev,9301392,Russia,Sovcomflot,2005.0,AFRAMAX SHUTTLE TNKR,0000-00-00,archive,100,IMO=9301392,51479,CAPTAIN KOSTICHEV,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9301392; MMSI 352002205; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
273257910,Kareliya,9306782,Russia,Novoship,2006.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9306782,46290,NS CENTURY,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9306782; MMSI 636012853; Linked To: GALLION NAVIGATION INCORPORATED.
620800034,Kaviz,9282041,Comoros,Undisclosed,2004.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9282041,54804,ABHRA,vessel,IRAN-EO13902,Panama,-0- ,Vessel Year of Build 2004; Vessel Registration Identification IMO 9282041; MMSI 352001312; Linked To: NEO SHIPPING INC.
323143000,Lourdes,9259692,Cuba,Bluelane Overseas,2002.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9259692,27425,GIRALT,vessel,VENEZUELA-EO13850,Panama,-0- ,Vessel Registration Identification IMO 9259692; Linked To: BLUELANE OVERSEAS SA.
273259910,Kazan,9258002,Russia,Novoship,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9258002,45330,KAZAN,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9258002; MMSI 636011916; Linked To: KAZAN SHIPPING INCORPORATED.
273250830,Kemerovo,9312884,Russia,Novoship,2007.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9312884,47009,NS COLUMBUS,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9312884; MMSI 626382000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
352001461,Koen,9199127,Panama,Undisclosed,2000.0,LR2 TNKR,0000-00-00,archive,100,IMO=9199127,51713,BOREY G,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9199127; MMSI 352001461; Linked To: LUSEIA MARINE SERVICES CO LTD."
273250930,Kolomna,9341093,Russia,Novoship,2006.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9341093,47003,NS CONSUL,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9341093; MMSI 626388000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
273257030,Krasnoyarsk,9312896,Russia,Novoship,2007.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9312896,47046,NS CREATION,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9312896; MMSI 626390000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
273259230,Krymsk,9270529,Russia,Novoship,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9270529,47037,KRYMSK,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9270529; MMSI 626364000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
273259430,Ladoga,9339313,Russia,Novoship,2007.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9339313,46976,NS LION,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9339313; MMSI 626393000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
461000249,Lavender,9339337,Oman,Dreamer Shipmanagement,2008.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9339337,51780,LEGACY,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9339337; MMSI 314892000; Linked To: STREAM SHIP MANAGEMENT FZCO."
620999875,LBS,9271406,Comoros,Triviality Shipping Services,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9271406,52686,MENG XIN,vessel,IRAN-EO13846,Panama,-0- ,Vessel Registration Identification IMO 9271406; MMSI 352898783; Linked To: ALKONOST MARITIME DMCC.
0,Leona,9299721,nan,Munne,2006.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9299721,51735,CEPHEUS,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9299721; MMSI 352001911; Linked To: COLUMBA LIMITED."
461000246,Level,9339325,Oman,Sovcomflot,2007.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9339325,51632,LIBERTY,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9339325; MMSI 314889000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
273251810,Ligovsky Prospect,9256066,Russia,Sovcomflot,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9256066,46288,LIGOVSKY PROSPECT,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9256066; MMSI 636011641; Linked To: PROGRESS SHIPPING COMPANY LIMITED.
273255820,Lipetsk,9339301,Russia,Novoship,2007.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9339301,47371,NS LEADER,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9339301; MMSI 636013272; Linked To: NS LEADER SHIPPING INCORPORATED.
273254130,Liteyny Prospect,9256078,Russia,Sovcomflot,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9256078,47034,LITEYNY PROSPECT,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9256078; MMSI 626367000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
570297000,Lotus,9392822,Tonga,Santiago Ships Management,2008.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9392822,51847,HIMALAYAN,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9392822; MMSI 352002872; Linked To: GIFTED PEAK LIMITED."
511101768,Nayara,9264570,Palau,Rayluck Shipping,2002.0,LR2 TNKR,0000-00-00,archive,100,IMO=9264570,54276,THEMIS,vessel,IRAN-EO13902,Panama,-0- ,Vessel Year of Build 2002; Vessel Registration Identification IMO 9264570; MMSI 353744000; Linked To: THEMIS LIMITED.
352001732,Lyra,9314088,Panama,Coureage Co Ltd,2004.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9314088,51886,LYRA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9314088; MMSI 352001732; Linked To: KAT DENNINGS LIMITED."
631010102,Makalu,9314105,Equatorial Guinea,Fathom Quill,2005.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9314105,51891,MAKALU,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9314105; MMSI 314001002; Linked To: DOUBLE HARMONY MARINE CORPORATION."
750357000,Marigold,9242118,Guyana,Alya Marine Sdn Bhd,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9242118,51074,SHANAYE QUEEN,vessel,IRAN-EO13846,Malaysia,-0- ,Vessel Registration Identification IMO 9242118; MMSI 533132105; Linked To: ALYA MARINE SENDIRIAN BERHAD.
