imo,company_count,error
9266372,22,
9259599,31,
9247455,20,
9038854,18,
9282481,29,
9215048,24,
9110183,14,
9282479,26,
9240407,24,
9240433,20,
9231212,32,
9198094,42,
9341067,34,
9232448,20,
9263643,39,
9247390,37,
9266853,25,
9230098,30,
9281011,42,
9258870,27,
9213313,41,
9274616,37,
9422988,30,
9233208,30,
9250531,30,
9400980,26,
9299680,33,
9243318,30,
9183295,31,
9422407,11,
9247821,28,
9237228,40,
9194139,26,
9180126,19,
9282493,32,
9290294,23,
9237412,32,
9152832,21,
9289489,25,
9310525,45,
9417464,35,
9299719,33,
9308948,25,
9238052,24,
9273052,48,
9247780,34,
9350654,30,
9323974,42,
9301392,33,
9270529,28,
9301419,35,
9420617,23,
9283289,34,
9299707,28,
9467768,12,
9247974,21,
9410894,29,
9392822,25,
9231468,43,
9422392,12,
9297345,21,
9294551,16,
9247986,36,
9298650,12,
9131357,19,
9328170,31,
9243320,28,
9257993,26,
9518892,11,
9401154,16,
9232876,24,
9417012,10,
9418494,30,
9439383,36,
9223344,32,
9304356,41,
9258002,24,
9282041,34,
9319686,39,
9242120,50,
9315446,43,
9265744,46,
9364215,18,
9382750,12,
9292981,26,
9226970,16,
9408310,10,
9301380,37,
9239927,14,
9499876,0,
9299111,9,
9469687,15,
9486934,11,
9381732,27,
9482603,9,
9412995,34,
9339337,35,
9301017,16,
9301421,37,
9422524,10,
9231901,25,
9388778,13,
9467756,12,
9388754,28,
9235892,44,
9419137,33,
9413561,37,
9417024,9,
9252967,36,
9242211,25,
9290309,27,
9396660,17,
9360128,36,
9258478,25,
9346744,36,
9337341,19,
9460576,18,
9419553,16,
9297357,0,
9343352,15,
9413559,28,
9285847,37,
9358541,15,
9410870,35,
9297321,19,
9439395,23,
9292503,28,
9466130,13,
9239939,17,
9273844,17,
9213296,41,
9439539,28,
9338905,26,
9388792,37,
9404936,22,
9466142,10,
9407457,9,
9237618,0,
9524982,17,
9343338,0,
9377779,27,
9514169,11,
9297369,20,
9426207,13,
9388728,21,
9232917,12,
9408322,19,
9394935,41,
9388742,43,
9247833,19,
9346861,18,
9283277,13,
9438858,16,
9282508,28,
9334727,14,
9292204,38,
9361512,10,
9408530,23,
9304368,10,
9258882,38,
9270555,24,
