mmsi,ship_name,country,gap_24h_ratio,non_anch_low_ratio,cog_high_vol_ratio,loitering_h_ratio,non_anch_low_max_dur_h,cog_very_high_vol_ratio,non_anch_low_events,age_risk,flag_score,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,company_count,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,anomaly_index,confidence_grade,sanction_sources,hit_ofac,quadrant
613471903,Torero M,Cameroon,0.000338,0.323056,0.153483,0.323036,477.2,0.088673,220,2,3,0.220697,0.6202,0.152617,0.164295,0.1625,1.222366,0.011185,0.067455,28.0,89.78,8.9,72.34,100.0,高可信,17.62,B,2,False,A_确认影子
273251810,Ligovsky Prospect,Russia,0.000177,0.111236,0.056025,0.111206,117.7,0.029509,101,2,1,0.051459,0.3923,0.046636,0.077145,0.0659,2.239906,0.002524,0.032183,27.0,89.64,5.78,78.31,100.0,高可信,6.13,A,3,True,A_确认影子
667002294,Vellamo,Sierra Leone,0.000184,0.314326,0.055676,0.314311,180.3,0.024972,11,2,2,0.036686,0.489,0.597603,0.067311,0.0644,1.26515,7.2e-05,0.0,38.0,89.56,9.94,70.08,100.0,高可信,15.26,B,2,False,A_确认影子
620800034,Kaviz,Comoros,0.000447,0.450926,0.193541,0.45095,379.2,0.102722,342,2,3,0.072149,0.4721,0.540628,0.010444,0.0,1.649627,0.000175,0.0,34.0,89.49,10.33,69.24,100.0,中可信,24.17,C,3,True,A_确认影子
620800007,Divit,Comoros,9.8e-05,0.796304,0.108278,0.796321,903.1,0.047424,418,3,3,0.033524,0.4346,0.418669,0.025679,0.0337,2.003502,1.7e-05,0.0,26.0,89.49,10.19,69.52,100.0,高可信,38.0,A,1,True,A_确认影子
314001114,Albedo,Barbados,0.000182,0.926342,0.064646,0.926385,679.1,0.028912,106,3,1,0.049521,0.7394,0.458557,3.2e-05,0.0,2.097962,3.2e-05,0.0,41.0,89.36,9.26,71.21,100.0,高可信,42.98,A,1,False,A_确认影子
620800046,New Power,Comoros,3.4e-05,0.975015,0.007314,0.975065,1391.4,0.002896,125,2,3,0.012161,0.1026,0.016873,3.4e-05,0.0,0.603272,3.4e-05,0.0,25.0,89.31,9.39,70.91,100.0,高可信,44.02,A,3,True,A_确认影子
518998343,Frunze,Cook Islands,0.00094,0.89081,0.213595,0.891267,278.9,0.142137,10,2,2,0.034159,0.318,0.815114,0.000367,0.0,0.0,0.000367,0.0,39.0,89.22,10.44,68.76,100.0,中可信,44.39,C,3,True,A_确认影子
613411502,Saraswati,Cameroon,0.000114,0.098396,0.042479,0.098368,162.6,0.017297,91,1,3,0.07755,0.4297,0.110156,0.123268,0.0799,2.006117,0.001878,0.014939,25.0,89.18,9.59,70.38,100.0,高可信,5.28,A,2,False,A_确认影子
667002021,Vokki,Sierra Leone,8.1e-05,0.164964,0.04179,0.164945,95.9,0.020853,202,1,2,0.046046,0.4751,0.229274,0.075401,0.0826,3.363573,0.003008,0.039494,28.0,89.13,8.38,72.71,100.0,高可信,8.26,A,2,False,A_确认影子
667001248,Furia,Sierra Leone,8.4e-05,0.137201,0.079706,0.13718,43.3,0.038925,370,2,2,0.229746,0.4635,0.362518,0.089176,0.0983,2.42206,0.001258,0.01374,42.0,88.94,8.9,71.5,100.0,高可信,7.77,A,2,False,A_确认影子
613442790,Tagor,Cameroon,0.001085,0.902576,0.435665,0.903025,732.1,0.26099,5,2,3,0.007312,0.4262,0.751105,0.000352,0.0,0.603272,0.000352,0.0,29.0,88.94,10.95,67.48,100.0,中可信,49.36,C,3,True,A_确认影子
667002283,Aktros,Sierra Leone,0.000172,0.047055,0.025833,0.047013,142.6,0.010536,36,2,2,0.094735,0.3891,0.306058,0.059187,0.1095,1.376254,4.8e-05,0.0,29.0,88.88,9.74,69.79,100.0,高可信,2.64,A,2,False,A_确认影子
613445605,Vexia,Cameroon,0.00062,0.200738,0.154027,0.200703,139.9,0.076261,103,1,3,0.04402,0.5386,0.319533,0.13756,0.0701,1.531591,0.000144,0.000533,34.0,88.74,10.9,67.38,100.0,高可信,12.13,A,2,False,A_确认影子
613223700,Rosita,Cameroon,0.000238,0.39076,0.094642,0.390759,252.4,0.042627,352,2,3,0.205553,0.6039,0.18257,0.096863,0.0989,3.190342,6.6e-05,0.0,27.0,88.61,9.52,69.95,100.0,高可信,19.48,A,2,False,A_确认影子
667002409,Neon,Sierra Leone,9.3e-05,0.675942,0.415366,0.675967,588.2,0.271821,233,3,2,0.069133,0.4236,0.735847,0.059246,0.1551,4.963375,3.6e-05,0.0,31.0,88.61,10.64,67.76,100.0,高可信,38.73,A,2,False,A_确认影子
667002334,Utaki,Sierra Leone,0.000107,0.216565,0.087726,0.216549,281.1,0.044478,691,2,2,0.110691,0.4817,0.361943,0.074838,0.037,2.350785,3.5e-05,0.0,43.0,88.6,10.52,67.98,100.0,高可信,11.5,A,2,False,A_确认影子
667002072,Osana,Sierra Leone,0.000162,0.328871,0.066181,0.328866,440.1,0.026087,135,1,2,0.093778,0.5905,0.307963,0.103533,0.113,1.410758,0.000959,0.008968,41.0,88.5,9.4,70.08,100.0,高可信,16.13,A,2,False,A_确认影子
613003594,Bhilva,Cameroon,0.00022,0.492668,0.129083,0.492686,331.6,0.043472,753,1,3,0.047709,0.5694,0.351032,0.063042,0.0005,1.122999,7.1e-05,0.0,36.0,88.47,10.97,66.97,100.0,高可信,24.76,B,2,False,A_确认影子
613404110,Peace,Cameroon,0.000362,0.239514,0.049791,0.239486,136.3,0.021353,182,2,3,0.096395,0.5288,0.053579,0.105995,0.2229,1.119157,0.005691,0.053067,36.0,88.47,11.36,66.2,100.0,高可信,11.78,B,2,False,A_确认影子
613464706,Reston,Cameroon,0.000847,0.444883,0.129894,0.444901,1022.8,0.066651,44,2,3,0.140171,0.5952,0.522085,0.122096,0.1303,1.560729,0.000149,0.0,46.0,88.44,11.33,66.23,100.0,高可信,22.64,B,1,True,A_确认影子
613412600,Cecila,Cameroon,0.00015,0.252063,0.04704,0.252047,117.7,0.020829,216,2,3,0.102587,0.4708,0.135753,0.171837,0.0987,1.635188,4.2e-05,0.0,38.0,88.44,11.22,66.45,100.0,高可信,12.29,A,2,False,A_确认影子
511101917,Telesto,Palau,0.001044,0.295953,0.199821,0.29591,125.4,0.125126,79,3,2,0.282648,0.5567,0.508387,0.019601,0.0532,2.252118,0.000168,0.0,41.0,88.44,10.97,66.94,100.0,高可信,17.34,B,0,False,B_潜在影子
667001798,Kartha,Sierra Leone,0.000106,0.065332,0.029781,0.065303,108.5,0.010646,86,1,2,0.070691,0.397,0.099648,0.097253,0.1635,3.228816,0.001545,0.015538,31.0,88.41,7.44,73.83,100.0,高可信,3.54,A,3,True,A_确认影子
667001258,Jaskel,Sierra Leone,0.001768,0.498223,0.383024,0.498278,416.5,0.214836,106,2,2,0.109809,0.5884,0.33104,0.196308,0.0697,1.566759,0.000213,0.0,34.0,88.25,10.64,67.4,100.0,高可信,30.13,B,2,False,A_确认影子
273254130,Liteyny Prospect,Russia,0.000147,0.218443,0.05454,0.218421,255.9,0.02538,264,2,1,0.059929,0.4979,0.283142,0.147525,0.1341,1.683949,0.005989,0.040283,30.0,87.99,5.18,77.84,98.14,高可信,10.92,A,3,True,A_确认影子
620999909,Ava 10,Comoros,0.000324,0.511431,0.236588,0.511451,817.6,0.129162,104,2,3,0.254734,0.4692,0.710082,0.094598,0.0,2.180893,7e-05,0.0,36.0,87.92,10.7,66.95,100.0,高可信,27.75,A,1,True,A_确认影子
613445621,Aqua Live,Cameroon,0.000479,0.241047,0.015459,0.241021,226.7,0.004198,73,2,3,0.07936,0.5018,0.360161,0.222351,0.1962,1.935617,0.000824,0.003408,34.0,87.9,11.66,65.05,100.0,高可信,11.17,B,3,True,A_确认影子
613271404,Thron,Cameroon,0.000133,0.098879,0.081251,0.098847,115.2,0.04012,61,1,3,0.050594,0.474,0.138571,0.178531,0.1868,2.644657,0.005495,0.030547,37.0,87.84,11.52,65.26,100.0,高可信,6.08,A,2,False,A_确认影子
273271070,Antares,Russia,0.000274,0.208671,0.080171,0.208635,131.1,0.047959,137,2,1,0.122891,0.4944,0.214502,0.030107,0.0522,1.627553,7.6e-05,0.0,41.0,87.77,9.48,69.19,100.0,高可信,11.0,B,2,True,A_确认影子
613503100,DG Hong Kong,Cameroon,0.000323,0.225041,0.07183,0.225018,137.2,0.029474,120,1,3,0.138413,0.5387,0.220088,0.052273,0.0829,1.721598,5.2e-05,0.0,35.0,87.72,11.54,65.1,100.0,高可信,11.57,A,2,False,A_确认影子
511101845,Evren,Palau,0.000213,0.084596,0.087072,0.084564,50.1,0.048418,573,1,2,0.09788,0.4417,0.178486,0.058779,0.1375,2.387457,0.001243,0.02046,28.0,87.59,9.1,69.75,100.0,高可信,5.55,A,0,False,B_潜在影子
667002026,Pate,Sierra Leone,0.000104,0.36383,0.045359,0.363827,378.9,0.018672,86,1,2,0.100068,0.5891,0.144131,0.092761,0.166,1.081371,0.002611,0.027788,26.0,87.51,7.52,72.77,100.0,高可信,17.28,A,2,False,A_确认影子
613277612,Marble,Cameroon,0.000297,0.575632,0.252253,0.575698,357.4,0.137728,65,2,3,0.413753,0.4394,0.702355,0.000146,0.0,1.527116,0.000146,0.0,42.0,87.46,10.48,66.92,100.0,高可信,30.96,B,2,False,A_确认影子
629009452,Amell,Gambia,0.000707,0.44104,0.354915,0.441062,61.3,0.250634,240,2,2,0.086466,0.4189,0.611438,0.217045,0.0,0.0,0.000196,0.0,26.0,87.46,11.78,64.37,100.0,中可信,26.96,C,2,True,A_确认影子
667002468,Azorin,Sierra Leone,0.000761,0.076059,0.035721,0.075758,24.6,0.017853,11,2,2,0.182408,0.5385,0.298938,0.159508,0.1741,1.011576,0.000373,0.0,36.0,87.42,10.93,66.0,100.0,中可信,4.15,C,2,False,A_确认影子
613902604,Navistar,Cameroon,0.000163,0.253554,0.03576,0.253537,257.3,0.01749,94,2,3,0.097998,0.5169,0.191815,0.241407,0.122,1.84359,4.5e-05,0.0,25.0,87.36,11.63,64.57,100.0,高可信,12.13,A,2,False,A_确认影子
