mmsi,imo,ship_name,country,operator,build_year,ship_type,deadweight,builder,builder_country,age_risk,n_points,total_days,sanction_sources,risk_level,hit_ofac,hit_un,hit_eu,hit_uk,flag_score,paris_list,tokyo_list,gap_24h_ratio,gap_24h_ci95_lower,gap_24h_ci95_upper,gap_24h_ci90_lower,gap_24h_ci90_upper,gap_24h_ci80_lower,gap_24h_ci80_upper,gap_12h_count,gap_24h_count,gap_72h_count,gap_max_hours,gap_mean_hours,low_speed_ratio,non_anch_low_ratio,non_anch_low_ci95_lower,non_anch_low_ci95_upper,non_anch_low_ci90_lower,non_anch_low_ci90_upper,non_anch_low_ci80_lower,non_anch_low_ci80_upper,non_anch_low_events,non_anch_low_max_dur_h,loitering_h_ratio,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,cog_high_vol_ratio,cog_high_vol_ci95_lower,cog_high_vol_ci95_upper,cog_high_vol_ci90_lower,cog_high_vol_ci90_upper,cog_high_vol_ci80_lower,cog_high_vol_ci80_upper,cog_very_high_vol_ratio,cog_mean_vol,cog_max_vol,anomaly_index,anomaly_ci95_lower,anomaly_ci95_upper,anomaly_ci90_lower,anomaly_ci90_upper,anomaly_ci80_lower,anomaly_ci80_upper,data_sufficiency,confidence_grade,name_changes,flag_changes,owner_changes,total_identity_changes,recorded_calls,unrecorded_call_ratio,hotspot_dwell_ratio,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,quadrant,company_count,company_source
550167011,9282479.0,Olina,Unknown,Tantye Peur,2005.0,AFRAMAX TNKR,0000-00-00,Samsung,South Korea,2,50905,167.6,3,高风险,True,False,True,True,0,Not Listed,Not Listed,7.7e-05,1.1e-05,0.000143,1.3e-05,0.000119,1.6e-05,9.5e-05,7,2,1,109.1,0.1,0.910991,0.91096,0.908486,0.913434,0.908893,0.913045,0.90936,0.912596,23,1389.1,0.911009,0.0472,0.2365,0.874607,3.8e-05,0.0,0.0,3.8e-05,0.0,0.379177,0.374962,0.383391,0.375636,0.382711,0.376414,0.381928,0.199076,30.51,180.0,48.58,48.42,48.74,48.44,48.71,48.47,48.68,0.965,A,0,0,0,0,0,0.0,0.0,61.86,3.86,54.29,69.43,高可信,A_确认影子,26.0,equasis_real
268256504,9240407.0,Princess Sofia,San Marino,Arnica Ship Management,2003.0,AFRAMAX TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,2,26764,178.2,0,未命中,False,False,False,False,1,Grey,Not Listed,0.000408,0.000177,0.000639,0.000196,0.000578,0.00022,0.000514,12,9,6,229.8,0.2,0.864893,0.864841,0.860745,0.868936,0.861419,0.868294,0.862192,0.867549,659,364.6,0.864925,0.103255,0.2856,0.752116,7.2e-05,0.0,5.275646,7.2e-05,0.0,0.468689,0.462711,0.474668,0.46367,0.473706,0.464776,0.472597,0.207852,34.11,175.5,48.3,48.05,48.55,48.09,48.51,48.14,48.47,0.795,B,0,0,0,0,0,0.0,0.0,62.41,9.58,43.63,81.19,高可信,B_潜在影子,24.0,equasis_real
352898728,9240433.0,Sabaek,Panama,Sabaek General Trading,2003.0,AFRAMAX TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,2,86377,180.6,0,未命中,False,False,False,False,0,White,High Performance,6.9e-05,1.8e-05,0.000119,2.1e-05,0.000103,2.5e-05,8.7e-05,7,4,0,43.3,0.1,0.865554,0.865538,0.863263,0.867813,0.863634,0.867452,0.86406,0.867036,650,283.8,0.865565,0.117097,0.0827,0.675977,2.2e-05,0.0,0.0,2.2e-05,0.0,0.433263,0.429959,0.436568,0.430489,0.436036,0.4311,0.435423,0.23982,36.08,169.75,47.62,47.48,47.75,47.5,47.73,47.53,47.71,1.0,A,0,0,0,0,0,0.0,0.0,42.45,2.14,38.26,46.64,高可信,D_正常,20.0,equasis_real
306761000,9231212.0,Xanthos Eos,Curacao,Merluza Group,2002.0,AFRAMAX TNKR,0000-00-00,Hyundai Samho Heavy Ind,South Korea,2,17393,180.7,3,高风险,True,False,True,True,0,Not Listed,Not Listed,0.00057,0.000233,0.000907,0.000259,0.000816,0.000293,0.000721,39,8,3,101.1,0.2,0.881332,0.881247,0.876441,0.886054,0.877238,0.885306,0.878152,0.884439,93,779.6,0.881382,0.082942,0.287,0.716179,0.00011,0.0,2.483102,0.00011,0.0,0.328234,0.321255,0.335212,0.322366,0.33408,0.323647,0.332777,0.223133,26.63,169.46,46.24,45.94,46.53,45.99,46.48,46.05,46.43,0.696,B,0,0,0,0,0,0.0,0.0,72.22,4.26,63.87,80.57,高可信,A_确认影子,32.0,equasis_real
750931000,9198094.0,Ala,Guyana,Bluespectrum Shipping,2000.0,AFRAMAX TNKR,0000-00-00,Samsung,South Korea,3,50376,180.6,1,低风险,True,False,False,False,0,Not Listed,Not Listed,0.000296,0.000151,0.000442,0.000164,0.000406,0.000181,0.000368,21,13,5,167.4,0.1,0.84046,0.837595,0.834375,0.840816,0.8349,0.840306,0.835504,0.839717,432,828.3,0.837638,0.068776,0.3374,0.527299,0.03003,0.0081,1.694349,3.8e-05,0.0,0.39757,0.393296,0.401844,0.393981,0.401155,0.39477,0.400361,0.240233,31.52,180.0,45.65,45.47,45.84,45.5,45.81,45.53,45.77,1.0,A,0,0,0,0,0,0.0,0.0,79.89,13.53,53.37,100.0,高可信,A_确认影子,42.0,equasis_real
610000033,9341067.0,DF Peak,Russia,Zheng Xin Marine,2006.0,AFRAMAX TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,2,12245,180.6,3,高风险,True,False,True,True,1,Grey,Medium Performance,0.000565,0.000174,0.000956,0.000199,0.000839,0.000232,0.000719,7,5,1,120.0,0.4,0.971335,0.971187,0.968229,0.974146,0.968749,0.973714,0.969338,0.973206,13,3885.6,0.971415,0.002361,0.2076,0.853424,0.000157,0.0,0.87058,0.000157,0.0,0.086724,0.081741,0.091707,0.082504,0.090868,0.083391,0.089909,0.024494,11.61,152.12,45.46,45.26,45.65,45.29,45.62,45.32,45.58,0.638,B,0,0,0,0,0,0.0,0.0,76.58,1.46,73.72,79.44,高可信,A_确认影子,34.0,equasis_real
750013000,9232448.0,Halo 6,Guyana,Star Ocean Shipmanage,2002.0,LR2 TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,2,251183,180.6,1,低风险,True,False,False,False,0,Not Listed,Not Listed,2.8e-05,9e-06,4.7e-05,1e-05,4.1e-05,1.1e-05,3.5e-05,7,5,2,917.1,0.0,0.97966,0.979653,0.979101,0.980205,0.979192,0.980118,0.979296,0.980018,73,879.8,0.979664,0.014467,0.3465,0.88696,8e-06,0.0,0.0,8e-06,0.0,0.039612,0.03885,0.040375,0.03897,0.04025,0.039109,0.040107,0.01848,3.32,180.0,44.88,44.85,44.91,44.85,44.9,44.86,44.9,1.0,A,0,0,0,0,0,0.0,0.0,52.61,4.42,43.95,61.27,高可信,A_确认影子,20.0,equasis_real
518998343,9263643.0,Frunze,Cook Islands,Undisclosed,2003.0,LR2 TNKR,0000-00-00,Sumitomo,Japan,2,5234,41.2,3,高风险,True,False,True,True,2,Grey,Low Performance,0.00094,0.000195,0.001684,0.000229,0.001434,0.000278,0.001182,5,3,0,57.2,0.2,0.891097,0.89081,0.882368,0.899251,0.88381,0.897979,0.885453,0.896495,10,278.9,0.891267,0.034159,0.318,0.815114,0.000367,0.0,0.0,0.000367,0.0,0.213595,0.202493,0.224696,0.204215,0.22285,0.206212,0.220737,0.142137,17.81,118.07,44.39,43.89,44.88,43.97,44.8,44.06,44.71,0.173,C,0,0,0,0,0,0.0,0.0,89.22,10.44,68.76,100.0,中可信,A_确认影子,39.0,equasis_real
352002704,9247390.0,Tyche I,Panama,Delnaz Ship Management,2003.0,AFRAMAX TNKR,0000-00-00,Sumitomo,Japan,2,8948,180.4,1,低风险,True,False,False,False,0,White,High Performance,0.000997,0.000379,0.001614,0.000424,0.001442,0.000484,0.001264,149,7,2,138.9,0.5,0.719155,0.719061,0.709751,0.728371,0.711274,0.726903,0.713025,0.725205,607,205.2,0.719235,0.28038,0.2012,0.942268,0.000215,0.0,0.0,0.000215,0.0,0.595107,0.584936,0.605278,0.586582,0.603656,0.588477,0.601784,0.374048,49.67,156.06,44.29,43.79,44.79,43.87,44.7,43.96,44.61,0.601,B,0,0,0,0,0,0.0,0.0,70.15,3.22,63.84,76.46,高可信,A_确认影子,37.0,equasis_real
620800046,9266853.0,New Power,Comoros,Uva Albilla Group,2004.0,AFRAMAX TNKR,0000-00-00,Tadotsu Tsuneishi,Japan,2,55907,109.5,3,高风险,True,False,True,True,3,Black,Low Performance,3.4e-05,0.0,6.9e-05,0.0,4.8e-05,0.0,2.9e-05,0,0,0,5.8,0.0,0.975048,0.975015,0.973722,0.976309,0.973939,0.97611,0.974188,0.97588,125,1391.4,0.975065,0.012161,0.1026,0.016873,3.4e-05,0.0,0.603272,3.4e-05,0.0,0.007314,0.006609,0.00802,0.006712,0.007896,0.006834,0.007756,0.002896,0.84,137.78,44.02,43.97,44.08,43.98,44.07,43.99,44.06,0.803,A,0,0,0,0,0,0.0,0.0,89.31,9.39,70.91,100.0,高可信,A_确认影子,25.0,equasis_real
