mmsi,msf,dsr,vrs,sbi,aii
422182000,36.1,1.0,5.2,85.1,1.2
667002070,35.9,0.4961,54.7,32.7,0.43
352003303,35.4,0.7326,80.1,7.3,0.54
311002228,35.4,0.4545,9.0,7.6,0.82
667002271,35.4,0.2963,59.2,17.1,0.49
667001407,35.0,0.4917,60.9,15.3,0.56
636019167,35.0,0.7059,57.1,5.3,0.7
613445621,34.8,0.3269,44.3,16.3,0.14
352002704,34.3,0.0,0.1,7.8,0.0
570314000,33.8,0.0,36.4,33.1,0.0
632001096,33.5,0.0,17.8,46.2,0.0
314001105,33.5,0.2571,42.3,10.9,0.09
636019327,33.5,0.5652,95.7,11.9,0.39
311040100,33.4,0.7604,38.1,9.4,0.79
631010071,33.0,0.5,41.6,37.3,0.38
273271560,33.0,0.1111,4.5,28.6,0.0
525119136,32.8,0.1653,13.3,28.2,0.27
273278070,32.5,0.3889,12.8,37.8,0.09
570389000,32.3,0.4286,37.6,4.9,0.37
650000116,32.1,0.3,104.7,14.1,0.78
655081771,31.5,0.0,32.2,20.4,0.0
667002294,30.2,0.1,38.7,28.0,0.0
613277612,30.1,0.0,1.2,2.5,0.0
613464706,29.9,0.3452,64.5,8.2,0.94
631010091,29.2,0.6071,50.2,10.2,1.06
671554100,29.1,0.0,41.4,14.9,0.0
550167011,27.9,0.0526,2.1,21.1,0.02
667002277,27.2,0.6263,49.0,27.5,1.11
538003617,26.6,0.6356,93.4,16.9,0.81
620999909,26.4,0.1026,24.8,3.4,0.37
679881013,26.0,0.0606,16.7,10.4,0.19
632001147,25.9,0.8269,37.6,16.9,1.43
647553034,25.8,0.2667,37.9,18.9,1.14
538008380,25.7,0.0,0.4,4.9,0.0
613007200,24.3,0.6413,61.7,4.4,0.81
667002372,23.8,0.25,39.7,5.7,1.21
620800030,22.7,0.0,0.3,7.4,0.0
667001512,22.0,0.0,0.0,8.0,0.0
372171000,21.7,0.0,2.1,2.7,0.0
750777000,21.4,0.6757,35.9,12.4,0.12
273274460,20.9,0.0,1.1,22.4,0.0
750062000,20.9,0.6667,28.6,246.8,0.0
306670000,20.8,0.3571,28.2,5.7,0.09
273277290,20.0,0.3636,25.9,68.5,0.11
632001101,19.9,0.0312,28.4,1.4,0.0
273272460,19.8,0.0,1.1,5.7,0.0
655280000,19.1,0.8182,21.9,4.2,0.27
655071176,18.1,1.0,13.3,282.0,1.88
613938500,17.6,0.0856,36.0,18.0,0.15
352209000,16.1,0.0,0.1,0.9,0.0
636021407,16.0,0.0,0.1,83.7,0.0
525119176,15.7,0.0556,28.9,5.4,0.17
613442851,14.9,0.9231,35.9,5.6,2.32
667001496,14.7,0.3,41.5,15.1,0.33
667002307,14.6,0.0,1.1,38.9,0.0
629009400,13.3,0.6667,3.6,0.1,0.71
775181000,13.1,0.0357,2.2,8.1,0.02
613003709,13.0,0.0,14.0,35.7,0.0
630001052,12.3,0.0,0.0,481.3,0.0
629009508,11.3,0.8,7.8,31.6,0.09
273279360,11.3,0.05,2.1,17.5,0.04
750013000,11.0,0.0,0.8,95.8,0.0
461000286,10.3,0.0,1.2,11.6,0.0
323143000,9.9,0.2093,2.6,1.3,0.11
273273670,9.9,0.0303,2.0,63.6,0.0
374867000,9.8,0.0323,3.1,6.1,0.03
750064162,9.1,0.6667,8.2,180.4,0.01
655180000,8.7,0.2188,27.6,66.6,0.08
304993000,7.8,0.0497,29.1,4.0,0.1
422181000,7.1,0.0323,1.6,8.9,0.02
613442790,6.8,0.125,19.5,164.3,0.31
671265100,6.2,0.0,2.0,51.7,0.0
610000033,5.6,0.0,1.7,719.3,0.0
775091000,4.8,0.1667,34.2,999.0,6.93
632001087,4.5,0.0,1.3,8.5,0.0
306724000,3.8,0.1538,32.9,208.9,0.17
422056300,3.5,0.0,0.0,999.0,0.0
273398330,3.2,0.4444,0.3,1.2,0.13
273279460,2.7,0.0,0.2,151.9,0.0
352873000,2.5,0.3889,41.1,52.8,1.18
775090000,2.5,0.0,0.0,640.1,0.0
621819083,2.4,0.6667,8.0,999.0,0.19
655990000,2.2,0.1163,30.5,1172.0,0.08
352001461,1.8,1.0,19.0,11.0,1.74
620800046,1.6,0.0,1.1,121.1,0.0
525008029,0.7,0.8,36.8,0.0,0.98
533133251,0.7,0.0,0.1,96.1,0.0
668116325,0.6,0.6667,0.9,1.0,0.02
352002495,0.4,1.0,18.4,999.0,0.33
466244000,0.4,0.0208,1.5,999.0,0.05
636023362,0.3,0.0155,14.3,999.0,0.25
352002070,0.3,0.0189,1.3,999.0,0.03
273277360,0.2,0.5,0.1,0.4,0.01
636026561,0.2,1.0,21.7,999.0,0.18
613011000,0.0,0.0,0.0,999.0,0.0
525008039,0.0,0.0,0.0,999.0,0.0
525021322,0.0,0.0,0.0,999.0,0.0
574005540,0.0,0.0,0.0,999.0,0.0
525019644,0.0,0.0,0.0,999.0,0.0
525100654,0.0,0.0,0.0,999.0,0.0
352003485,0.0,0.5,27.6,999.0,1.44
352332000,0.0,0.0,0.0,999.0,0.0
352421000,0.0,0.0,0.0,999.0,0.0
352700000,0.0,0.0,0.1,999.0,0.0
352189000,0.0,0.0,0.0,999.0,0.0
525021310,0.0,0.0,0.0,999.0,0.0
341618001,0.0,0.0,0.0,0.0,0.0
636017748,0.0,0.0,0.0,999.0,0.0
352001732,0.0,0.0,0.0,0.0,0.0
352001616,0.0,0.0,0.0,0.0,0.0
655130000,0.0,0.0,0.0,999.0,0.0
525701879,0.0,0.0,0.0,999.0,0.0
636026516,0.0,0.0,0.0,999.0,0.0
650000303,0.0,0.0,0.0,999.0,0.0
533133159,0.0,0.0,0.0,999.0,0.0
668116314,0.0,0.0,0.0,0.0,0.0
