mmsi,msf,dsr,vrs,sbi,aii
613511201,135.0,0.5909,40.8,3.9,0.09
750416000,135.0,0.0,2.1,8.7,0.0
636022405,134.7,0.5417,43.4,10.3,0.23
631010110,133.8,0.6047,48.5,20.7,1.06
538012094,133.5,0.5256,54.4,8.0,0.25
352005301,133.2,0.6,48.5,26.1,0.3
240547000,132.8,0.6667,36.2,6.4,0.27
667001627,132.7,0.6552,54.8,7.6,0.17
538008084,131.5,0.0,89.7,12.1,0.0
357449000,131.0,0.4,105.9,7.4,0.07
371499000,131.0,0.6667,41.6,5.2,0.16
403098000,131.0,0.1667,15.3,11.3,0.05
273254130,130.7,0.4324,59.1,19.7,0.12
636018917,130.5,0.7105,59.1,15.6,0.82
650630000,130.3,0.4474,44.5,5.6,0.12
352004150,130.1,0.193,29.4,2.3,0.16
613412600,130.0,0.32,41.8,12.1,0.0
355600000,129.9,0.5769,33.9,13.7,0.15
613271440,129.7,0.6438,44.0,11.7,0.3
461000187,129.7,0.6875,66.7,11.1,0.09
667002308,129.0,0.7742,54.8,3.0,0.34
563759000,129.0,0.0714,21.7,7.2,0.02
565949000,128.7,0.0741,21.7,9.4,0.07
240633000,128.5,0.6795,59.5,13.6,0.35
538008070,128.2,0.6333,50.2,15.1,0.34
311027600,127.6,0.3611,13.7,7.0,0.09
631010090,127.6,0.1875,29.7,20.1,0.05
423530100,127.5,0.1765,4.2,2.3,0.0
538012112,127.4,0.0758,54.7,10.9,0.63
311027400,126.2,0.45,13.7,3.3,0.1
613447202,126.1,0.3871,60.1,15.9,0.16
538006198,125.9,0.3462,35.8,13.1,0.06
273272850,125.7,0.5625,48.5,18.4,0.07
352005395,125.6,0.0,37.8,5.5,0.0
352179000,125.5,0.4752,59.1,6.7,0.28
461000282,124.7,0.3585,30.7,3.5,0.06
311039900,124.3,0.4714,59.3,11.1,0.28
419795000,123.6,0.1818,30.1,17.7,1.47
667001708,123.4,0.5469,48.5,14.4,0.2
667002260,122.6,0.1951,31.4,38.4,0.0
525121061,122.1,0.5,54.4,9.0,0.28
215068000,121.9,0.525,15.1,1.8,0.25
311000223,121.6,0.4808,34.9,6.8,0.09
248895000,120.9,0.5263,29.8,7.5,0.18
636017739,120.7,0.4375,15.2,2.4,0.1
613277600,120.2,0.5769,41.7,9.8,1.0
563216100,119.7,0.5185,54.7,4.1,0.17
538008320,119.7,0.3,34.4,6.5,0.23
525121027,119.1,0.1538,28.6,6.0,0.01
412493000,118.4,0.0259,32.2,2.4,0.1
309368000,118.4,0.7172,54.6,7.2,0.6
613004310,118.4,0.5902,62.7,16.8,0.35
273257910,117.7,0.9,70.7,14.9,0.47
636025005,116.9,0.6038,44.3,6.4,0.22
667001451,116.7,0.2208,48.7,8.0,0.23
268256504,116.3,0.0,0.5,11.5,0.0
314898000,116.1,0.2742,59.3,11.6,0.16
613003614,115.9,0.5747,59.5,9.6,0.21
215743000,115.6,0.4655,87.4,2.2,0.28
311000221,115.6,0.05,43.8,6.1,0.07
352004827,115.4,0.3444,33.8,13.8,0.25
371458000,115.1,0.5581,54.8,22.5,0.1
636025888,114.7,0.6071,43.9,5.6,0.09
352005769,114.4,0.5217,9.9,10.7,0.2
667001256,114.4,0.3621,60.4,11.4,0.1
667001997,113.6,0.6269,59.3,7.9,0.38
538006517,113.1,0.5294,59.1,5.8,1.25
229869000,113.1,0.2745,30.3,10.3,0.08
631010082,112.5,0.3714,43.7,10.0,0.3
613321600,112.5,0.8111,59.3,11.5,0.43
477607200,112.4,0.1304,26.5,9.0,0.05
636020835,111.5,0.4537,56.8,8.9,0.46
309518000,111.4,0.4118,25.6,9.7,0.24
574005510,111.4,0.5455,54.6,11.3,0.24
570292000,110.6,0.6,37.5,15.3,0.03
613511209,110.3,0.5484,59.3,7.6,0.06
538004518,109.3,0.4419,15.2,9.1,0.3
613007700,108.9,0.3889,13.1,15.9,0.03
667002061,108.8,0.4545,59.5,13.0,0.39
563326000,108.6,0.24,36.2,9.3,0.11
613522701,108.3,0.7,9.1,5.7,0.11
241408000,108.1,0.5636,48.3,12.5,0.23
461000235,108.1,0.7209,59.3,22.9,0.15
564329000,107.9,0.3548,39.9,17.4,0.15
461000246,107.9,0.6667,70.9,15.3,0.16
636019634,107.8,0.3478,15.2,1.7,0.12
538010229,107.4,0.4,15.8,10.7,0.4
613411502,106.9,0.8421,60.6,14.6,0.32
311000466,106.8,0.1731,57.0,5.1,0.15
314123000,106.6,0.56,12.8,15.5,0.27
273271850,106.6,0.6,59.2,21.1,0.19
574003890,106.4,0.3167,8.1,4.1,0.12
511101845,106.4,0.4396,25.8,15.3,0.23
235076282,106.3,0.4615,34.2,5.0,0.58
314001155,106.3,0.4444,59.3,23.4,0.17
273270560,106.1,0.4737,41.7,24.3,0.14
563221700,105.4,0.3571,76.2,13.3,0.06
636014069,105.3,0.44,22.4,8.4,0.09
461000247,105.1,0.5667,70.7,31.0,0.19
352005354,104.9,0.5435,59.4,12.2,0.3
636022945,104.6,0.4194,95.6,21.7,0.29
613741201,103.8,0.3673,19.3,9.1,0.11
461000237,103.4,0.5253,59.2,21.4,0.45
563216300,102.7,0.76,34.4,22.7,0.15
461000231,102.7,0.7313,37.6,8.6,0.81
352004759,102.5,0.25,50.0,8.0,0.1
352002241,102.5,0.7073,61.1,15.0,0.18
613661400,101.8,0.7222,61.2,22.7,0.26
613414707,101.4,0.52,59.3,24.8,0.03
352005899,101.2,0.5714,48.5,7.8,0.21
370066000,101.0,0.6056,80.0,6.1,0.41
613404821,101.0,0.5769,56.4,8.4,0.07
273259430,100.5,0.8571,70.7,8.9,0.23
403287000,100.2,0.0714,15.3,11.9,0.03
273275360,100.1,0.1207,61.2,10.3,1.96
613510201,99.8,0.6719,62.7,13.6,0.45
461000236,99.8,0.5294,60.0,8.8,0.25
667002240,99.6,0.4651,51.5,2.4,0.09
419001313,99.5,0.4375,72.3,18.3,0.1
352005654,99.0,0.4839,28.6,9.3,0.15
311015300,99.0,0.4615,43.4,4.2,0.4
215466000,98.8,0.5455,41.8,15.2,0.26
538009381,98.4,0.625,59.5,5.3,0.23
352005847,98.0,0.3836,50.9,15.1,0.11
613009690,97.4,0.2826,62.2,11.9,1.58
533133126,97.2,0.1562,28.9,11.2,0.11
667001248,96.9,0.2881,48.4,3.7,0.19
413281000,96.5,0.0833,20.3,12.0,0.05
613670000,96.5,0.4953,60.1,8.1,0.24
636011265,96.1,0.3607,37.6,2.8,0.24
463076101,95.7,0.3736,28.9,14.2,0.17
247275300,95.6,0.6316,33.2,4.7,0.45
525121002,95.5,0.7571,48.3,9.6,0.48
636018294,95.5,0.7865,59.5,8.7,0.46
461000249,95.2,0.0909,37.6,10.9,0.07
273279660,95.2,0.5758,59.1,34.3,0.27
667001255,95.2,0.2985,60.4,4.3,0.19
567599000,95.2,0.0526,12.1,14.5,0.05
613271610,95.1,0.0965,52.8,14.7,0.13
667001270,94.8,0.5357,49.5,19.7,0.54
511101926,94.6,0.3898,54.6,12.2,1.1
613710000,94.6,0.44,48.5,9.5,0.23
636021733,94.3,0.6038,59.1,16.0,0.24
273272530,94.0,0.3684,13.2,6.0,0.1
636025638,93.7,0.5,59.3,28.1,0.16
238250000,93.5,0.3279,15.2,15.8,0.12
419794000,93.1,0.155,20.1,13.7,0.21
636013708,93.0,0.7083,54.0,7.7,0.56
636021009,92.9,0.4194,87.2,13.1,0.2
273251810,92.8,0.7368,70.7,19.4,0.25
650610000,92.6,0.1429,19.6,24.1,0.0
636025194,92.2,0.5857,51.7,16.0,0.31
461000258,91.7,0.5682,70.6,13.6,0.21
273615700,91.6,0.0,0.9,2.9,0.03
374987000,91.4,0.6279,61.1,35.3,0.28
461000252,91.4,0.5078,61.4,14.7,0.7
256812000,91.0,0.449,23.0,8.9,0.19
219760000,90.8,0.1176,61.1,11.2,0.03
461000256,90.5,0.4104,70.5,11.7,0.52
248993000,90.2,0.4286,59.1,9.1,0.35
352004997,90.2,0.3636,59.3,19.7,0.22
636091686,90.0,0.3611,48.9,13.6,0.14
538004638,89.7,0.0667,19.7,10.3,0.03
419473000,89.5,0.1159,17.0,1.3,0.05
311027700,89.5,0.35,14.8,12.4,0.06
255806213,89.4,0.7727,12.8,13.7,0.1
667002270,89.0,0.2364,48.3,16.1,0.03
273259230,89.0,0.119,13.4,12.1,0.02
613411300,88.9,0.4483,13.3,1.0,0.2
419474000,88.9,0.1364,15.7,6.5,0.12
273270320,88.8,0.1667,41.8,24.5,0.07
307025000,88.7,0.481,43.6,8.5,0.35
613271404,88.5,0.5915,49.4,20.9,0.4
