name,n_feat,recall,prec,f1,auc,delta
全部特征 (14),14,0.6889705882352941,0.47056856187290974,0.5572361993935473,0.8474936089448949,0.0
- 治理(age+flag),12,0.6066176470588236,0.35123959564463,0.4407918910357934,0.7237560037184321,-0.08235294117647052
- flag_score,13,0.6669117647058823,0.39364228874573703,0.4933407161314138,0.788644579868822,-0.022058823529411797
- age_risk,13,0.7242647058823529,0.49176799952662026,0.5767109803494244,0.7997997146619842,0.03529411764705881
- v2指标(5),9,0.7845588235294118,0.4861547354203083,0.5963986052086738,0.8348022000723028,0.09558823529411764
- v1指标(7),7,0.7264705882352941,0.456339312861052,0.5572466651182987,0.8233507527242679,0.03749999999999998
仅v1核心3,3,0.5110294117647058,0.3410122444605203,0.40496833590548664,0.6485949362185611,-0.17794117647058827
仅v2(5),5,0.5852941176470589,0.2430323512296738,0.3417762319503991,0.5952951505448536,-0.10367647058823526
仅治理,2,0.8566176470588236,0.414859142263861,0.5571149531397979,0.8211921577234932,0.16764705882352948
