"DateTime","30-day Moving Average"
"2020-01-01 00:00:00",NaN
"2020-01-02 00:00:00",NaN
"2020-01-03 00:00:00",NaN
"2020-01-04 00:00:00",NaN
"2020-01-05 00:00:00",NaN
"2020-01-06 00:00:00",NaN
"2020-01-07 00:00:00",NaN
"2020-01-08 00:00:00",NaN
"2020-01-09 00:00:00",NaN
"2020-01-10 00:00:00",NaN
"2020-01-11 00:00:00",NaN
"2020-01-12 00:00:00",NaN
"2020-01-13 00:00:00",NaN
"2020-01-14 00:00:00",NaN
"2020-01-15 00:00:00",NaN
"2020-01-16 00:00:00",NaN
"2020-01-17 00:00:00",NaN
"2020-01-18 00:00:00",NaN
"2020-01-19 00:00:00",NaN
"2020-01-20 00:00:00",NaN
"2020-01-21 00:00:00",NaN
"2020-01-22 00:00:00",NaN
"2020-01-23 00:00:00",NaN
"2020-01-24 00:00:00",NaN
"2020-01-25 00:00:00",NaN
"2020-01-26 00:00:00",NaN
"2020-01-27 00:00:00",NaN
"2020-01-28 00:00:00",NaN
"2020-01-29 00:00:00",NaN
"2020-01-30 00:00:00",0.36654448517161
"2020-01-31 00:00:00",0.37624734173073
"2020-02-01 00:00:00",-0.17894908085245
"2020-02-02 00:00:00",0
"2020-02-03 00:00:00",1.04506858262574
"2020-02-04 00:00:00",1.15259740259738
"2020-02-05 00:00:00",0.64298344317632
"2020-02-06 00:00:00",0.17645171639395
"2020-02-07 00:00:00",-0.43110330512533995
"2020-02-08 00:00:00",-0.23950183618074
"2020-02-09 00:00:00",-0.40109096743141004
"2020-02-10 00:00:00",0.01618646811265
"2020-02-11 00:00:00",-0.48278081750885005
"2020-02-12 00:00:00",-1.57819225251075
"2020-02-13 00:00:00",-1.48159949020232
"2020-02-14 00:00:00",-1.52235965746907
"2020-02-15 00:00:00",-1.5719275960622499
"2020-02-16 00:00:00",-2.9430379746835302
"2020-02-17 00:00:00",-2.65121447848865
"2020-02-18 00:00:00",-2.55924170616114
"2020-02-19 00:00:00",-2.5843050740623896
"2020-02-20 00:00:00",-2.94855708908405
"2020-02-21 00:00:00",-3.19649012848636
"2020-02-22 00:00:00",-3.7750626566416
"2020-02-23 00:00:00",-4.0780979373327
"2020-02-24 00:00:00",-3.07910942681193
"2020-02-25 00:00:00",-3.2724984266834403
"2020-02-26 00:00:00",-4.39937597503898
"2020-02-27 00:00:00",-4.67435338111561
"2020-02-28 00:00:00",-4.67114513357288
"2020-02-29 00:00:00",-4.67114513357288
"2020-03-01 00:00:00",-5.10857678487736
"2020-03-02 00:00:00",-5.0228310502283
"2020-03-03 00:00:00",-4.8979591836734695
"2020-03-04 00:00:00",-5.28448947778644
"2020-03-05 00:00:00",-5.9407476345587105
"2020-03-06 00:00:00",-6.380672138764119
"2020-03-07 00:00:00",-6.3499456606117
"2020-03-08 00:00:00",-6.9211669770329
"2020-03-09 00:00:00",-6.03407847428481
"2020-03-10 00:00:00",-5.62627691340562
"2020-03-11 00:00:00",-5.20963704630788
"2020-03-12 00:00:00",-5.10983019161863
"2020-03-13 00:00:00",-3.99436090225563
"2020-03-14 00:00:00",-3.4700315457413202
"2020-03-15 00:00:00",-4.06555310431767
"2020-03-16 00:00:00",-3.35293182901638
"2020-03-17 00:00:00",-3.31210191082802
"2020-03-18 00:00:00",-2.0124580737901203
"2020-03-19 00:00:00",-2.41461477362986
"2020-03-20 00:00:00",-2.89394180314834
"2020-03-21 00:00:00",-3.43456829384639
"2020-03-22 00:00:00",-4.08780022268172
"2020-03-23 00:00:00",-3.99427116486315
"2020-03-24 00:00:00",-2.95716112531968
"2020-03-25 00:00:00",-3.1884517766497296
"2020-03-26 00:00:00",-4.28279011179342
"2020-03-27 00:00:00",-4.79559748427672
"2020-03-28 00:00:00",-4.8442906574394495
"2020-03-29 00:00:00",-5.91549295774647
"2020-03-30 00:00:00",-5.1544766708701095
"2020-03-31 00:00:00",-4.6724546172059895
"2020-04-01 00:00:00",-5.82084893882647
"2020-04-02 00:00:00",-6.28019323671498
"2020-04-03 00:00:00",-6.69162377164248
"2020-04-04 00:00:00",-7.2152095995013195
"2020-04-05 00:00:00",-7.46454729624435
"2020-04-06 00:00:00",-7.011242973141781
