"DateTime","30-day Moving Average"
"2020-01-01 00:00:00",NaN
"2020-01-02 00:00:00",NaN
"2020-01-03 00:00:00",NaN
"2020-01-04 00:00:00",NaN
"2020-01-05 00:00:00",NaN
"2020-01-06 00:00:00",NaN
"2020-01-07 00:00:00",NaN
"2020-01-08 00:00:00",NaN
"2020-01-09 00:00:00",NaN
"2020-01-10 00:00:00",NaN
"2020-01-11 00:00:00",NaN
"2020-01-12 00:00:00",NaN
"2020-01-13 00:00:00",NaN
"2020-01-14 00:00:00",NaN
"2020-01-15 00:00:00",NaN
"2020-01-16 00:00:00",NaN
"2020-01-17 00:00:00",NaN
"2020-01-18 00:00:00",NaN
"2020-01-19 00:00:00",NaN
"2020-01-20 00:00:00",NaN
"2020-01-21 00:00:00",NaN
"2020-01-22 00:00:00",NaN
"2020-01-23 00:00:00",NaN
"2020-01-24 00:00:00",NaN
"2020-01-25 00:00:00",NaN
"2020-01-26 00:00:00",NaN
"2020-01-27 00:00:00",NaN
"2020-01-28 00:00:00",NaN
"2020-01-29 00:00:00",NaN
"2020-01-30 00:00:00",-12.21123454250654
"2020-01-31 00:00:00",-11.444172102819481
"2020-02-01 00:00:00",-12.26687944734449
"2020-02-02 00:00:00",-11.495482397222249
"2020-02-03 00:00:00",-9.5294292360785
"2020-02-04 00:00:00",-6.98742906629745
"2020-02-05 00:00:00",-5.67607529071541
"2020-02-06 00:00:00",-10.125560142601039
"2020-02-07 00:00:00",-8.27670154119489
"2020-02-08 00:00:00",-11.414876882582881
"2020-02-09 00:00:00",-12.03205233523134
"2020-02-10 00:00:00",-11.04199819245005
"2020-02-11 00:00:00",-10.45737952793384
"2020-02-12 00:00:00",-8.828308420345559
"2020-02-13 00:00:00",-7.7927792796896505
"2020-02-14 00:00:00",-5.41107085160555
"2020-02-15 00:00:00",-8.03555860222051
"2020-02-16 00:00:00",-10.83371434746113
"2020-02-17 00:00:00",-9.252188594819199
"2020-02-18 00:00:00",-8.097262937041021
"2020-02-19 00:00:00",-8.377568383400009
"2020-02-20 00:00:00",-8.61874762634523
"2020-02-21 00:00:00",-7.25662767142861
"2020-02-22 00:00:00",-7.92161377467568
"2020-02-23 00:00:00",-7.33642465242849
"2020-02-24 00:00:00",-8.653745185505809
"2020-02-25 00:00:00",-6.8085778998286495
"2020-02-26 00:00:00",-9.19900635312003
"2020-02-27 00:00:00",-12.07761547234967
"2020-02-28 00:00:00",-11.23531652339626
"2020-02-29 00:00:00",-11.23531652339626
"2020-03-01 00:00:00",-11.9204229351189
"2020-03-02 00:00:00",-10.74166687418757
"2020-03-03 00:00:00",-13.812680347127909
"2020-03-04 00:00:00",-12.38388408957853
"2020-03-05 00:00:00",-14.38714782449507
"2020-03-06 00:00:00",-17.62544479662852
"2020-03-07 00:00:00",-22.32976866871298
"2020-03-08 00:00:00",-20.48766141367219
"2020-03-09 00:00:00",-23.790392414127158
"2020-03-10 00:00:00",-21.706476401128167
"2020-03-11 00:00:00",-20.10804645756758
"2020-03-12 00:00:00",-20.42515421513437
"2020-03-13 00:00:00",-18.969957249661782
"2020-03-14 00:00:00",-21.19618735955067
"2020-03-15 00:00:00",-21.02051213509697
"2020-03-16 00:00:00",-20.39307485312986
"2020-03-17 00:00:00",-21.08974063157622
"2020-03-18 00:00:00",-18.4443376006352
"2020-03-19 00:00:00",-19.24028038646961
"2020-03-20 00:00:00",-19.93450672721335
"2020-03-21 00:00:00",-19.62304145335519
"2020-03-22 00:00:00",-20.03850049917461
"2020-03-23 00:00:00",-19.74447953763227
"2020-03-24 00:00:00",-17.180061809760712
"2020-03-25 00:00:00",-17.733288526214082
"2020-03-26 00:00:00",-15.97524493809264
"2020-03-27 00:00:00",-15.519661657427742
"2020-03-28 00:00:00",-13.539734652874898
"2020-03-29 00:00:00",-12.18485444440959
"2020-03-30 00:00:00",-12.72562712626443
"2020-03-31 00:00:00",-10.93155161894966
"2020-04-01 00:00:00",-9.14259148507142
"2020-04-02 00:00:00",-8.94739026187716
"2020-04-03 00:00:00",-9.88350046352353
"2020-04-04 00:00:00",-8.74956129572078
"2020-04-05 00:00:00",-7.262012013797841
"2020-04-06 00:00:00",-3.9796761125004
